workload_type,architecture_pattern,base_suitability_score,latency_compatibility,consistency_compatibility,throughput_compatibility,overall_compatibility_score,recommendation,key_considerations,risk_factors,optimization_opportunities
OLTP - High Frequency,Local Storage + Replication,2,5,5,2,3.65,Recommended,Ultra-low latency requirements may be challenging; Strong consistency requirements need careful design,Standard operational risks,Standard optimization practices apply
OLTP - High Frequency,Shared Storage (SAN/NAS),2,1,5,2,2.45,Not Recommended,Ultra-low latency requirements may be challenging; Strong consistency requirements need careful design,Standard operational risks,Standard optimization practices apply
OLTP - High Frequency,Object Storage + Distributed Log,2,1,5,3,2.5,Consider with Caution,Ultra-low latency requirements may be challenging; Strong consistency requirements need careful design; High network dependency requires reliable connectivity,Network latency may severely impact performance,Standard optimization practices apply
OLTP - High Frequency,Eventually Consistent Object Store,2,1,1,3,1.8,Not Recommended,Ultra-low latency requirements may be challenging; Strong consistency requirements need careful design,Consistency model mismatch may cause data integrity issues,Standard optimization practices apply
OLTP - High Frequency,Hybrid Local + Remote,2,1,5,5,2.9,Consider with Caution,Ultra-low latency requirements may be challenging; Strong consistency requirements need careful design,Consistency model mismatch may cause data integrity issues,Standard optimization practices apply
OLTP - High Frequency,In-Memory + Persistent Backup,2,5,5,3,3.5,Recommended,Ultra-low latency requirements may be challenging; Strong consistency requirements need careful design; High network dependency requires reliable connectivity,Network latency may severely impact performance; Long recovery times may violate SLA requirements,Standard optimization practices apply
OLTP - Medium Frequency,Local Storage + Replication,3,2,5,3,3.35,Consider with Caution,Standard implementation considerations apply,Standard operational risks,Standard optimization practices apply
OLTP - Medium Frequency,Shared Storage (SAN/NAS),3,2,5,3,3.15,Consider with Caution,Standard implementation considerations apply,Standard operational risks,Standard optimization practices apply
OLTP - Medium Frequency,Object Storage + Distributed Log,3,4,5,3,3.55,Recommended,High network dependency requires reliable connectivity,Standard operational risks,Standard optimization practices apply
OLTP - Medium Frequency,Eventually Consistent Object Store,3,2,1,3,2.35,Not Recommended,Standard implementation considerations apply,Standard operational risks,Standard optimization practices apply
OLTP - Medium Frequency,Hybrid Local + Remote,3,5,5,3,3.9,Recommended,Standard implementation considerations apply,Standard operational risks,Standard optimization practices apply
OLTP - Medium Frequency,In-Memory + Persistent Backup,3,2,5,3,3.05,Consider with Caution,High network dependency requires reliable connectivity,Long recovery times may violate SLA requirements,Standard optimization practices apply
OLAP - Batch Analytics,Local Storage + Replication,5,5,5,5,5.0,Highly Recommended,Standard implementation considerations apply,Standard operational risks,Implement aggressive caching strategies; Use spot instances for cost optimization; Implement storage tiering for cost optimization
OLAP - Batch Analytics,Shared Storage (SAN/NAS),5,5,5,2,4.35,Recommended,Standard implementation considerations apply,Standard operational risks,Implement aggressive caching strategies; Use spot instances for cost optimization; Implement storage tiering for cost optimization
OLAP - Batch Analytics,Object Storage + Distributed Log,5,5,5,5,4.7,Highly Recommended,High network dependency requires reliable connectivity,Standard operational risks,Implement aggressive caching strategies; Use spot instances for cost optimization; Implement storage tiering for cost optimization
OLAP - Batch Analytics,Eventually Consistent Object Store,5,5,5,5,4.8,Highly Recommended,Standard implementation considerations apply,Standard operational risks,Implement aggressive caching strategies; Use spot instances for cost optimization; Implement storage tiering for cost optimization
OLAP - Batch Analytics,Hybrid Local + Remote,5,5,5,5,4.8,Highly Recommended,Standard implementation considerations apply,Standard operational risks,Implement aggressive caching strategies; Use spot instances for cost optimization; Implement storage tiering for cost optimization
OLAP - Batch Analytics,In-Memory + Persistent Backup,5,5,5,5,4.7,Highly Recommended,High network dependency requires reliable connectivity,Long recovery times may violate SLA requirements,Implement aggressive caching strategies; Use spot instances for cost optimization; Implement storage tiering for cost optimization
OLAP - Interactive Analytics,Local Storage + Replication,4,5,3,3,4.0,Recommended,Standard implementation considerations apply,Standard operational risks,Implement aggressive caching strategies; Implement storage tiering for cost optimization
OLAP - Interactive Analytics,Shared Storage (SAN/NAS),4,5,3,3,3.8,Recommended,Standard implementation considerations apply,Standard operational risks,Implement aggressive caching strategies; Implement storage tiering for cost optimization
OLAP - Interactive Analytics,Object Storage + Distributed Log,4,5,3,3,3.7,Recommended,High network dependency requires reliable connectivity,Standard operational risks,Implement aggressive caching strategies; Implement storage tiering for cost optimization
OLAP - Interactive Analytics,Eventually Consistent Object Store,4,5,3,3,3.8,Recommended,Standard implementation considerations apply,Standard operational risks,Implement aggressive caching strategies; Implement storage tiering for cost optimization
OLAP - Interactive Analytics,Hybrid Local + Remote,4,5,3,3,3.8,Recommended,Standard implementation considerations apply,Standard operational risks,Implement aggressive caching strategies; Implement storage tiering for cost optimization
OLAP - Interactive Analytics,In-Memory + Persistent Backup,4,5,3,3,3.7,Recommended,High network dependency requires reliable connectivity,Long recovery times may violate SLA requirements,Implement aggressive caching strategies; Implement storage tiering for cost optimization
HTAP - Read Heavy,Local Storage + Replication,4,5,3,3,4.0,Recommended,Standard implementation considerations apply,Standard operational risks,Implement aggressive caching strategies
HTAP - Read Heavy,Shared Storage (SAN/NAS),4,5,3,3,3.8,Recommended,Standard implementation considerations apply,Standard operational risks,Implement aggressive caching strategies
HTAP - Read Heavy,Object Storage + Distributed Log,4,5,3,3,3.7,Recommended,High network dependency requires reliable connectivity,Standard operational risks,Implement aggressive caching strategies
HTAP - Read Heavy,Eventually Consistent Object Store,4,5,3,3,3.8,Recommended,Standard implementation considerations apply,Standard operational risks,Implement aggressive caching strategies
HTAP - Read Heavy,Hybrid Local + Remote,4,5,3,3,3.8,Recommended,Standard implementation considerations apply,Standard operational risks,Implement aggressive caching strategies
HTAP - Read Heavy,In-Memory + Persistent Backup,4,5,3,3,3.7,Recommended,High network dependency requires reliable connectivity,Long recovery times may violate SLA requirements,Implement aggressive caching strategies
HTAP - Write Heavy,Local Storage + Replication,3,5,5,3,4.1,Recommended,Strong consistency requirements need careful design,Standard operational risks,Standard optimization practices apply
HTAP - Write Heavy,Shared Storage (SAN/NAS),3,5,5,3,3.9,Recommended,Strong consistency requirements need careful design,Standard operational risks,Standard optimization practices apply
HTAP - Write Heavy,Object Storage + Distributed Log,3,5,5,3,3.8,Recommended,Strong consistency requirements need careful design; High network dependency requires reliable connectivity,Standard operational risks,Standard optimization practices apply
HTAP - Write Heavy,Eventually Consistent Object Store,3,5,1,3,3.1,Consider with Caution,Strong consistency requirements need careful design,Consistency model mismatch may cause data integrity issues,Standard optimization practices apply
HTAP - Write Heavy,Hybrid Local + Remote,3,5,5,3,3.9,Recommended,Strong consistency requirements need careful design,Consistency model mismatch may cause data integrity issues,Standard optimization practices apply
HTAP - Write Heavy,In-Memory + Persistent Backup,3,5,5,3,3.8,Recommended,Strong consistency requirements need careful design; High network dependency requires reliable connectivity,Long recovery times may violate SLA requirements,Standard optimization practices apply
Vector/Embedding - Batch,Local Storage + Replication,5,5,5,5,5.0,Highly Recommended,Standard implementation considerations apply,Standard operational risks,Implement aggressive caching strategies; Use spot instances for cost optimization
