deployment_size,data_assets,atlas_nodes,kafka_nodes,hbase_nodes,solr_nodes,monthly_compute_cost,monthly_storage_cost,monthly_network_cost,operational_overhead_hours,staff_cost_monthly,total_monthly_cost,cost_per_asset,data_source
Small,100000,2,3,3,2,800,200,100,40,4000,5100,0.051,community_report
Medium,500000,3,3,5,3,1500,500,200,80,8000,10200,0.020,enterprise_survey
Large,2000000,5,5,9,5,3000,1200,400,120,12000,16600,0.008,hadoop_vendor_study
Enterprise,10000000,8,7,15,8,6000,3000,800,200,20000,29800,0.003,fortune500_case
Startup,50000,1,1,1,1,400,100,50,20,2000,2550,0.051,startup_survey
SMB,250000,2,2,3,2,900,300,120,60,6000,7320,0.029,smb_deployment
Government,1500000,4,4,7,4,2500,900,300,100,10000,13700,0.009,public_sector
Financial,5000000,6,6,12,6,4500,2000,600,160,16000,23100,0.005,fintech_study
Healthcare,800000,3,3,5,3,1800,600,250,90,9000,11650,0.015,healthcare_survey
Manufacturing,1200000,4,4,6,4,2200,800,300,100,10000,13300,0.011,industrial_study
Retail,600000,3,3,4,3,1600,500,200,70,7000,9300,0.016,retail_analytics
Tech_Company,3000000,5,5,8,5,3500,1500,500,140,14000,19500,0.007,tech_survey
Consulting,150000,2,2,2,2,700,200,80,50,5000,5980,0.040,professional_services
Media,400000,2,2,3,2,1000,300,150,60,6000,7450,0.019,media_company
Energy,2500000,4,4,8,4,2800,1000,400,120,12000,16200,0.006,energy_sector
Insurance,1800000,4,4,7,4,2600,900,350,110,11000,14850,0.008,insurance_study
Telecom,3500000,6,5,10,6,4000,1800,600,150,15000,21400,0.006,telecom_case
Education,300000,2,2,3,2,800,250,100,50,5000,6150,0.021,university_deployment
Logistics,900000,3,3,5,3,1700,600,250,80,8000,10550,0.012,logistics_study
Pharma,1100000,3,3,6,3,2000,700,300,90,9000,12000,0.011,pharmaceutical
