provider,primary_region,replica_region,stack_type,gb_replicated,policy_objects,monthly_cost_usd,governance_complexity,compliance_tier,data_sovereignty
Policy-Engine-2-Region,multi-region-mesh,2-regions,Basic RBAC (Primary-DR),1000,50,795.0,Low,Standard,Policy-Enforced
Policy-Engine-2-Region,multi-region-mesh,2-regions,Basic RBAC (Primary-DR),10000,125,2318.75,Low,Standard,Policy-Enforced
Policy-Engine-2-Region,multi-region-mesh,2-regions,Basic RBAC (Primary-DR),50000,200,5962.5,Low,Standard,Policy-Enforced
Policy-Engine-2-Region,multi-region-mesh,2-regions,Basic RBAC (Primary-DR),250000,325,17556.25,Medium,Standard,Policy-Enforced
Policy-Engine-2-Region,multi-region-mesh,2-regions,Basic RBAC (Primary-DR),1000000,2000,79500.0,High,Standard,Policy-Enforced
Policy-Engine-3-Region,multi-region-mesh,3-regions,Basic RBAC (Multi-Active),1000,50,1059.0,Low,Standard,Policy-Enforced
Policy-Engine-3-Region,multi-region-mesh,3-regions,Basic RBAC (Multi-Active),10000,125,3088.75,Low,Standard,Policy-Enforced
Policy-Engine-3-Region,multi-region-mesh,3-regions,Basic RBAC (Multi-Active),50000,200,7942.5,Low,Standard,Policy-Enforced
Policy-Engine-3-Region,multi-region-mesh,3-regions,Basic RBAC (Multi-Active),250000,325,23386.25,Medium,Standard,Policy-Enforced
Policy-Engine-3-Region,multi-region-mesh,3-regions,Basic RBAC (Multi-Active),1000000,2000,105900.0,High,Standard,Policy-Enforced
Policy-Engine-5-Region,multi-region-mesh,5-regions,Basic RBAC (Global-Mesh),1000,50,1725.0,Low,Standard,Policy-Enforced
Policy-Engine-5-Region,multi-region-mesh,5-regions,Basic RBAC (Global-Mesh),10000,125,5031.25,Low,Standard,Policy-Enforced
Policy-Engine-5-Region,multi-region-mesh,5-regions,Basic RBAC (Global-Mesh),50000,200,12937.5,Low,Standard,Policy-Enforced
Policy-Engine-5-Region,multi-region-mesh,5-regions,Basic RBAC (Global-Mesh),250000,325,38093.75,Medium,Standard,Policy-Enforced
Policy-Engine-5-Region,multi-region-mesh,5-regions,Basic RBAC (Global-Mesh),1000000,2000,172500.0,High,Standard,Policy-Enforced
Policy-Engine-8-Region,multi-region-mesh,8-regions,Basic RBAC (Edge-Distributed),1000,50,2932.5,Low,Standard,Policy-Enforced
Policy-Engine-8-Region,multi-region-mesh,8-regions,Basic RBAC (Edge-Distributed),10000,125,8553.12,Low,Standard,Policy-Enforced
Policy-Engine-8-Region,multi-region-mesh,8-regions,Basic RBAC (Edge-Distributed),50000,200,21993.75,Low,Standard,Policy-Enforced
Policy-Engine-8-Region,multi-region-mesh,8-regions,Basic RBAC (Edge-Distributed),250000,325,64759.38,Medium,Standard,Policy-Enforced
Policy-Engine-8-Region,multi-region-mesh,8-regions,Basic RBAC (Edge-Distributed),1000000,2000,293250.0,High,Standard,Policy-Enforced
Policy-Engine-2-Region,multi-region-mesh,2-regions,ABAC with Context (Primary-DR),1000,110,3829.25,Low,Professional,Policy-Enforced
Policy-Engine-2-Region,multi-region-mesh,2-regions,ABAC with Context (Primary-DR),10000,275,10401.25,Medium,Professional,Policy-Enforced
Policy-Engine-2-Region,multi-region-mesh,2-regions,ABAC with Context (Primary-DR),50000,440,22273.25,Medium,Professional,Policy-Enforced
Policy-Engine-2-Region,multi-region-mesh,2-regions,ABAC with Context (Primary-DR),250000,715,55862.0,Medium,Professional,Policy-Enforced
