engine,workload,p50_ms,p95_ms,p99_ms,qps_peak,source,notes,collected_date
Trino,BI,2500,8900,15600,45,Starburst Performance Study 2024,"TPC-H scale 1000, 10 concurrent users",2025-08-20
Spark SQL,ETL,12000,35000,62000,8,Databricks Performance Benchmarks,Large batch processing workload,2025-08-20
Snowflake,BI,1800,6200,11400,125,Snowflake Performance Studies,"Standard warehouse, auto-scaling enabled",2025-08-20
BigQuery,Ad-hoc,3200,9800,18500,75,Google Cloud Performance Docs,On-demand pricing tier,2025-08-20
ClickHouse,BI,450,1200,2800,320,ClickHouse Benchmarks,Optimized for OLAP workloads,2025-08-20
Dremio,BI,2100,7500,13200,95,Dremio Performance Reports,Data lake query acceleration,2025-08-20
Athena,Ad-hoc,4500,15200,28000,25,AWS Performance Studies,"S3-based queries, variable performance",2025-08-20
Redshift,BI,2800,9200,16800,85,AWS Redshift Benchmarks,ra3.xlplus cluster,2025-08-20
Trino,ETL,8500,25000,45000,12,Iceberg Performance Study,Large table scans with predicate pushdown,2025-08-20
Spark SQL,BI,3200,11500,22000,35,Delta Lake Performance Analysis,Optimized table layout,2025-08-20
BigQuery,ETL,15000,45000,85000,5,Google Cloud ETL Benchmarks,Large data transformation jobs,2025-08-20
Snowflake,Ad-hoc,2200,8500,16200,95,Snowflake Interactive Analytics,User exploration queries,2025-08-20
