adoption_level,adoption_percent,adoption_rate_percent,adoption_year,aware_but_not_using_percent,aware_percent,bloom_filters_supported,company,company_size,cost_claims,cost_savings_percent,data_scale_tb,data_type,dataset_id,default_compression,effectiveness_score,enabled,gzip_percent,implementation_status,lz4_percent,main_barrier,optimal_file_size_mb,optimal_row_group_size_mb,pain_point,parallel_reader_count,parquet_feature,partition_columns,pattern_name,performance_claims,performance_impact,performance_improvement,planning_percent,primary_driver,primary_use_case,project,provider,pruning_effectiveness_percent,read_support,recommended_compression,recommended_encoding,satisfaction_score,secondary_driver,service,snappy_percent,sort_columns,source,stats_enabled_by_default,survey_size,survey_source,typical_compression_ratio,unaware_percent,uncompressed_percent,use_case,using_actively_percent,using_percent,version,write_support,zstd_percent
,,,2019,,,,Netflix,large_enterprise,,35,150000,,enterprise_adoption,,,1,,,,,,,,,Dictionary Encoding,,,,,40% storage reduction,,,analytics_streaming,,,,,,,,,,,,Netflix Tech Blog 2024,,,,,,,,,,,,
,,,2019,,,,Netflix,large_enterprise,,30,150000,,enterprise_adoption,,,1,,,,,,,,,Snappy Compression,,,,,balanced speed/size,,,analytics_streaming,,,,,,,,,,,,Netflix Tech Blog 2024,,,,,,,,,,,,
,,,2022,,,,Uber,large_enterprise,,45,500000,,enterprise_adoption,,,1,,,,,,,,,ZSTD Compression,,,,,50% storage reduction vs Snappy,,,data_lake,,,,,,,,,,,,Uber Engineering Blog 2024,,,,,,,,,,,,
,,,2020,,,,Uber,large_enterprise,,60,500000,,enterprise_adoption,,,1,,,,,,,,,Column Statistics,,,,,10x query speedup,,,query_optimization,,,,,,,,,,,,Uber Engineering Blog 2024,,,,,,,,,,,,
,,,2023,,,,Airbnb,large_enterprise,,25,75000,,enterprise_adoption,,,1,,,,,,,,,Bloom Filters,,,,,20x lookup speedup,,,point_lookups,,,,,,,,,,,,Airbnb Engineering Blog 2024,,,,,,,,,,,,
,,,2021,,,,Spotify,large_enterprise,,40,45000,,enterprise_adoption,,,1,,,,,,,,,RLE Encoding,,,,,80% compression for boolean data,,,user_behavior_analytics,,,,,,,,,,,,Spotify Engineering Blog 2024,,,,,,,,,,,,
standard,,,,,,1,,,90% storage reduction,,,,cloud_provider_adoption,snappy,,1,,,,,,,,,Columnar Storage,,,10x faster than CSV,,,,,,,AWS,,,,,,,S3 + Athena,,,,1,,,,,,,,,,,
standard,,,,,,0,,,80% storage reduction,,,,cloud_provider_adoption,snappy,,1,,,,,,,,,Columnar Storage,,,5x faster than JSON,,,,,,,Google Cloud,,,,,,,BigQuery External Tables,,,,1,,,,,,,,,,,
standard,,,,,,1,,,85% storage reduction,,,,cloud_provider_adoption,snappy,,1,,,,,,,,,Columnar Storage,,,8x faster than text formats,,,,,,,Azure,,,,,,,Synapse Analytics,,,,1,,,,,,,,,,,
enterprise_standard,,,,,,1,,,70% storage reduction + ACID,,,,cloud_provider_adoption,snappy,,1,,,,,,,,,Enhanced Parquet,,,100x faster with Z-Ordering,,,,,,,Databricks,,,,,,,Delta Lake,,,,1,,,,,,,,,,,
