organization_type,format,team_maturity,adoption_month,feature_usage_pct,query_time_travel_pct,rollback_operations_pct,retention_days,storage_overhead_pct,query_performance_impact_pct,training_hours_required,roi_months
Enterprise,Delta Lake,High,3,85,60,25,30,15,8,40,6
Enterprise,Iceberg,High,4,78,65,13,45,18,12,48,8
Enterprise,Hudi,Medium,6,72,45,27,21,22,15,56,9
Startup,Delta Lake,Medium,2,92,70,22,14,12,5,24,4
Startup,Iceberg,Medium,5,68,55,13,30,16,10,32,7
Startup,Hudi,Low,8,58,35,23,14,20,18,40,11
Mid-Market,Delta Lake,Medium,4,80,58,22,21,14,7,36,7
Mid-Market,Iceberg,Medium,5,75,62,13,35,17,11,42,8
Mid-Market,Hudi,Medium,7,65,40,25,18,19,16,48,10
Financial Services,Delta Lake,High,2,88,65,23,60,16,9,45,5
Financial Services,Iceberg,High,3,82,70,12,90,20,13,52,7
Financial Services,Hudi,Medium,5,70,48,22,45,23,17,60,9
Healthcare,Delta Lake,High,4,85,62,23,180,17,10,50,6
Healthcare,Iceberg,High,5,80,68,12,365,22,14,58,8
Healthcare,Hudi,Medium,7,68,42,26,120,25,19,65,11
Retail,Delta Lake,Medium,3,83,55,28,21,13,6,32,6
Retail,Iceberg,Medium,4,76,58,18,28,15,9,38,7
Retail,Hudi,Medium,6,70,38,32,14,18,14,44,9
Manufacturing,Delta Lake,Medium,5,78,50,28,14,14,8,40,8
Manufacturing,Iceberg,Low,8,65,45,20,21,17,12,48,12
Manufacturing,Hudi,Medium,7,72,42,30,12,19,16,52,10
Technology,Delta Lake,High,2,90,75,15,21,12,5,28,4
Technology,Iceberg,High,3,85,78,7,30,15,8,35,5
Technology,Hudi,High,4,82,55,27,18,17,12,42,7
Media,Delta Lake,Medium,4,82,68,14,35,13,7,36,7
Media,Iceberg,Medium,5,78,72,6,42,16,10,42,8
Media,Hudi,Low,9,62,40,22,21,21,18,54,13
Government,Delta Lake,Low,8,70,45,25,365,18,12,60,15
Government,Iceberg,Low,10,65,50,15,730,24,16,72,18
Government,Hudi,Low,12,58,35,23,180,26,20,80,20
Education,Delta Lake,Medium,6,75,55,20,90,15,9,45,10
Education,Iceberg,Medium,7,72,60,12,120,18,13,52,12
Education,Hudi,Low,10,60,40,20,60,22,17,58,15
