company_size,industry,ccoe_maturity,infrastructure_team_model,application_team_boundary,procurement_policy_evolution,storage_ops_ownership,compute_ops_ownership,cost_optimization_responsibility,platform_engineering_adoption,database_administration_model,vendor_relationship_management
startup_100_500,fintech,emerging,embedded_sre,full_stack_ownership,decentralized_with_guidelines,application_teams,application_teams,application_teams,high,embedded_dba,direct_vendor_relationship
midmarket_500_2000,healthcare,developing,centralized_platform,api_boundary,centralized_procurement,platform_team,platform_team,platform_team,medium,shared_dba_service,procurement_team_managed
enterprise_2000_10000,retail,mature,federated_platform,service_boundary,hybrid_procurement,storage_coe,compute_coe,finops_team,high,database_platform_team,vendor_management_office
large_enterprise_10000_plus,financial_services,advanced,platform_as_product,domain_boundary,enterprise_procurement,infrastructure_coe,infrastructure_coe,finops_center_excellence,high,database_center_excellence,strategic_vendor_management
startup_100_500,saas,emerging,devops_hybrid,product_team_ownership,startup_procurement,product_teams,product_teams,engineering_management,medium,no_dedicated_dba,founder_direct
midmarket_500_2000,manufacturing,developing,ops_team_centralized,environment_boundary,traditional_procurement,operations_team,operations_team,it_finance,low,traditional_dba_team,it_procurement
enterprise_2000_10000,media,mature,site_reliability_engineering,microservice_boundary,cloud_first_procurement,sre_storage_squad,sre_compute_squad,cost_engineering_team,high,database_sre_team,cloud_procurement_coe
large_enterprise_10000_plus,telecommunications,advanced,cloud_native_platform,bounded_context,strategic_cloud_procurement,storage_platform_team,compute_platform_team,finops_automation_team,high,data_platform_engineering,enterprise_vendor_strategy
startup_100_500,gaming,emerging,full_stack_teams,game_title_boundary,agile_procurement,game_teams,game_teams,studio_management,medium,embedded_database_engineer,direct_cloud_relationship
enterprise_2000_10000,logistics,developing,infrastructure_platform,regional_boundary,centralized_cloud_procurement,logistics_platform_team,logistics_platform_team,supply_chain_finops,medium,logistics_data_team,transportation_it_procurement
