vendor,quarter,slide_ref,driver_rank,phrasing,link
Microsoft,Q4-2024,Azure Growth Slide,2,"Azure Cosmos DB multi-model database driving enterprise adoption","https://www.microsoft.com/en-us/investor/earnings/fy-2024-q4/press-release-webcast"
Microsoft,Q3-2024,Intelligent Cloud,1,"Multi-API database services contributing to 31% Azure growth","https://www.microsoft.com/en-us/investor/earnings/fy-2024-q3/press-release-webcast"
Microsoft,Q2-2024,Azure Platform,3,"Unified data platform services accelerating customer consolidation","https://www.microsoft.com/en-us/investor/earnings/fy-2024-q2/press-release-webcast"
Amazon,Q4-2024,AWS Growth,1,"DocumentDB and DynamoDB driving database service consolidation","https://ir.aboutamazon.com/quarterly-results/2024/"
Amazon,Q3-2024,Database Services,2,"Multi-API database offerings reducing customer operational complexity","https://ir.aboutamazon.com/quarterly-results/2024/"
Amazon,Q2-2024,AWS Revenue,3,"Unified database APIs contributing to 19% AWS growth","https://ir.aboutamazon.com/quarterly-results/2024/"
Google,Q4-2024,Cloud Platform,2,"Firestore and Cloud SQL unified platform driving enterprise wins","https://abc.xyz/investor/"
Google,Q3-2024,Database Growth,1,"Multi-workload database platform reducing TCO for customers","https://abc.xyz/investor/"
MongoDB,Q4-2024,Atlas Revenue,1,"Multi-API Atlas platform driving 22% revenue growth","https://investors.mongodb.com/financials/quarterly-results/default.aspx"
MongoDB,Q3-2024,Platform Strategy,1,"Unified developer experience across document and search APIs","https://investors.mongodb.com/financials/quarterly-results/default.aspx"
MongoDB,Q2-2024,Growth Drivers,2,"Atlas multi-model capabilities expanding use case adoption","https://investors.mongodb.com/financials/quarterly-results/default.aspx"
MongoDB,Q1-2024,Business Model,1,"Converged workload platform reducing customer database sprawl","https://investors.mongodb.com/financials/quarterly-results/default.aspx"
Oracle,Q4-2024,Autonomous Database,1,"Multi-workload Autonomous Database driving cloud revenue growth","https://investor.oracle.com/financials/quarterly-earnings/default.aspx"
Oracle,Q3-2024,Cloud Infrastructure,2,"Unified database platform reducing operational overhead for enterprises","https://investor.oracle.com/financials/quarterly-earnings/default.aspx"
Oracle,Q2-2024,Database Cloud,1,"Converged database eliminating need for multiple specialized systems","https://investor.oracle.com/financials/quarterly-earnings/default.aspx"
Snowflake,Q4-2024,Platform Revenue,1,"Multi-workload platform enabling single source of truth for data","https://investors.snowflake.com/financials/quarterly-results/default.aspx"
Snowflake,Q3-2024,Product Strategy,2,"Unified data platform reducing customer tool proliferation","https://investors.snowflake.com/financials/quarterly-results/default.aspx"
Snowflake,Q2-2024,Growth Metrics,1,"Consolidated workload platform driving 33% revenue growth","https://investors.snowflake.com/financials/quarterly-results/default.aspx"
Microsoft,Q1-2024,Azure Services,2,"Cosmos DB API convergence simplifying enterprise architecture","https://www.microsoft.com/en-us/investor/earnings/fy-2024-q1/press-release-webcast"
Amazon,Q1-2024,Database Innovation,3,"Multi-API strategy reducing database management complexity","https://ir.aboutamazon.com/quarterly-results/2024/"
Google,Q2-2024,Cloud Revenue,3,"Database consolidation platform contributing to cloud acceleration","https://abc.xyz/investor/"
Google,Q1-2024,Platform Growth,2,"Unified database APIs enabling customer workload consolidation","https://abc.xyz/investor/"
Oracle,Q1-2024,Cloud Strategy,1,"Single database multiple workloads driving customer migrations","https://investor.oracle.com/financials/quarterly-earnings/default.aspx"
Snowflake,Q1-2024,Platform Vision,1,"Eliminating data silos through unified multi-workload platform","https://investors.snowflake.com/financials/quarterly-results/default.aspx"
Microsoft,Q4-2023,Azure Growth,2,"Multi-model database consolidation reducing customer TCO","https://www.microsoft.com/en-us/investor/earnings/fy-2023-q4/press-release-webcast"
Amazon,Q4-2023,AWS Platform,1,"Database API unification driving enterprise adoption","https://ir.aboutamazon.com/quarterly-results/2023/"
MongoDB,Q4-2023,Atlas Platform,1,"Single platform multiple APIs expanding market opportunity","https://investors.mongodb.com/financials/quarterly-results/default.aspx"
Oracle,Q4-2023,Database Cloud,1,"Converged database architecture eliminating operational complexity","https://investor.oracle.com/financials/quarterly-earnings/default.aspx"
Snowflake,Q4-2023,Data Platform,1,"Multi-workload convergence creating single pane of glass","https://investors.snowflake.com/financials/quarterly-results/default.aspx"
Microsoft,Q3-2023,Intelligent Cloud,3,"Unified data platform services accelerating digital transformation","https://www.microsoft.com/en-us/investor/earnings/fy-2023-q3/press-release-webcast"
Amazon,Q3-2023,Database Services,2,"Multi-API database platform reducing operational overhead","https://ir.aboutamazon.com/quarterly-results/2023/"
Google,Q3-2023,Cloud Database,3,"Consolidated database platform driving customer consolidation","https://abc.xyz/investor/"
MongoDB,Q3-2023,Platform Revenue,1,"Atlas unified experience driving 29% revenue growth","https://investors.mongodb.com/financials/quarterly-results/default.aspx"
