organization_type,budget_model,compute_allocation_method,storage_allocation_method,chargeback_granularity,tagging_strategy,reserved_instance_policy,spot_usage_policy,cost_center_separation,billing_frequency,automation_level
enterprise_saas,showback,department_based,project_based,monthly,resource_environment_project,70_percent_reserved,30_percent_spot,yes,monthly,high
financial_services,chargeback,cost_center,cost_center,weekly,business_unit_application,80_percent_reserved,10_percent_spot,yes,weekly,medium
healthcare,hybrid_showback,team_based,shared_pool,monthly,compliance_workload,60_percent_reserved,20_percent_spot,partial,monthly,medium
retail_ecommerce,chargeback,application_based,tenant_based,daily,customer_environment,50_percent_reserved,40_percent_spot,yes,daily,high
manufacturing,showback,department_based,shared_pool,quarterly,facility_process,90_percent_reserved,5_percent_spot,no,quarterly,low
media_streaming,chargeback,workload_based,content_based,hourly,region_content_type,30_percent_reserved,60_percent_spot,yes,hourly,high
gaming,hybrid_chargeback,game_title,shared_assets,daily,title_environment,40_percent_reserved,50_percent_spot,partial,daily,high
logistics,showback,route_based,facility_based,weekly,region_service,70_percent_reserved,20_percent_spot,yes,weekly,medium
telecom,chargeback,service_based,network_zone,hourly,network_service_region,60_percent_reserved,25_percent_spot,yes,hourly,high
education,showback,department_based,research_project,semester,department_grant,80_percent_reserved,10_percent_spot,partial,semester,low
