org_id,format,job_type,runs,compute_hours,cost_usd,data_tb_touched,source,date,cluster_type
db_customer_1,delta,optimize,24,12.5,125.0,2.5,databricks_community_forum,2024-12,standard_ds3_v2
db_customer_2,delta,vacuum,168,8.2,82.0,15.0,databricks_community_forum,2024-12,standard_ds3_v2
db_customer_3,delta,zorder,12,24.8,248.0,8.7,databricks_blog_case_study,2024-11,memory_optimized_e4s_v3
netflix_public,iceberg,compaction,48,156.0,1560.0,125.0,netflix_tech_blog,2024-10,spark_3.4_large
apple_public,iceberg,snapshot_expiry,24,4.2,42.0,78.5,apple_iceberg_presentation,2024-09,spark_3.4_medium
adobe_public,iceberg,compaction,96,89.3,893.0,45.2,adobe_data_summit_talk,2024-08,trino_worker_pool
airbnb_public,parquet,compaction,336,267.4,2674.0,89.3,airbnb_engineering_blog,2024-11,emr_m5.2xlarge
uber_public,hudi,clustering,72,145.6,1456.0,67.8,uber_engineering_blog,2024-10,emr_m5.4xlarge
spotify_public,delta,optimize,144,78.9,789.0,34.5,spotify_engineering_blog,2024-09,gke_n1-highmem-8
aws_customer_case,delta,optimize,480,1244.7,12447.0,234.6,aws_reinvent_case_study,2024-12,emr_r5.8xlarge
azure_customer_case,iceberg,compaction,240,567.8,5678.0,156.7,azure_ignite_presentation,2024-11,synapse_dw500c
gcp_customer_case,delta,vacuum,720,234.5,2345.0,445.2,gcp_next_case_study,2024-10,dataproc_n1-standard-16
