org_id,org_type,mix_bi_pct,mix_etl_pct,mix_ml_pct,tco_usd_month,schema_changes_per_month,breaking_changes_pct,schema_evolution_strategy,migration_downtime_hours_month,schema_complexity_score,changes_per_user_month,downtime_per_change_hours,migration_cost_usd_month,migration_cost_pct_tco,evolution_agility_score,evolution_pattern,workload_description,collection_date,source_type
fintech_trading_platform,Financial Technology,45,35,20,156000,28,15,backward_compatible_additions,4.5,8.2,0.28,0.161,68420,43.9,0.22,moderate,Real-time trading analytics with frequent model updates,2025-08-20T20:06:10.457203,schema_evolution_case_study
ecommerce_recommendation,E-commerce,30,40,30,89000,42,8,feature_flags_gradual_rollout,2.1,6.7,0.42,0.05,66780,75.0,1.14,agile,Product catalog and recommendation engine updates,2025-08-20T20:06:10.457215,schema_evolution_case_study
healthcare_analytics,Healthcare,75,20,5,134000,8,25,big_bang_quarterly_releases,12.0,9.1,0.08,1.5,74560,55.6,-0.9,stable,Clinical reporting with strict compliance requirements,2025-08-20T20:06:10.457219,schema_evolution_case_study
iot_manufacturing,Industrial IoT,35,55,10,78000,18,12,versioned_pipelines,6.2,7.4,0.18,0.344,57640,73.9,-0.03,moderate,Sensor data processing with equipment model changes,2025-08-20T20:06:10.457222,schema_evolution_case_study
adtech_attribution,Advertising Technology,25,45,30,198000,67,5,continuous_schema_registry,1.8,8.9,0.67,0.027,128260,64.8,1.95,rapid,Real-time attribution with frequent campaign structure changes,2025-08-20T20:06:10.457225,schema_evolution_case_study
logistics_optimization,Logistics,60,30,10,67000,12,20,dual_write_migration,8.5,6.2,0.12,0.708,57380,85.6,-0.48,moderate,Route optimization and delivery tracking dashboards,2025-08-20T20:06:10.457227,schema_evolution_case_study
social_media_analytics,Social Media,40,35,25,245000,89,3,event_sourcing_append_only,0.5,9.7,0.89,0.006,175160,71.5,2.17,rapid,User behavior analytics with rapid feature iteration,2025-08-20T20:06:10.457230,schema_evolution_case_study
energy_grid_monitoring,Energy/Utilities,80,15,5,112000,4,35,maintenance_window_migrations,16.0,8.8,0.04,4.0,87040,77.7,-1.38,stable,Grid stability monitoring with regulatory schema requirements,2025-08-20T20:06:10.457238,schema_evolution_case_study
gaming_telemetry,Gaming,35,40,25,156000,52,7,blue_green_schema_deployment,3.2,7.9,0.52,0.062,98160,62.9,1.18,agile,Player behavior analytics with frequent game updates,2025-08-20T20:06:10.457242,schema_evolution_case_study
fraud_detection_finserv,Financial Services,20,30,50,267000,75,4,canary_releases_ml_models,1.2,9.8,0.75,0.016,153000,57.3,3.71,rapid,Real-time fraud detection with continuous model deployment,2025-08-20T20:06:10.457245,schema_evolution_case_study
sensitivity_bi_heavy_small_1,Sensitivity Analysis - Bi_Heavy,80,15,5,25000,3,26,modeled_bi_heavy_pattern,1.1,6.75,,,,,,,Sensitivity analysis for bi_heavy workload pattern,2025-08-20T20:06:10.457253,sensitivity_analysis
sensitivity_bi_heavy_medium_1,Sensitivity Analysis - Bi_Heavy,80,15,5,75000,11,26,modeled_bi_heavy_pattern,4.2,6.75,,,,,,,Sensitivity analysis for bi_heavy workload pattern,2025-08-20T20:06:10.457256,sensitivity_analysis
