vendor,segment,metric,value,period,source_link,inference_note
AWS,DynamoDB,YoY Growth,35,2024-Q3,https://aws.amazon.com/blogs/aws/,"Strong adoption in serverless and multi-model use cases, estimated growth from earnings guidance"
AWS,RDS Multi-Engine,Active Databases,8.5,2024-Q3,https://aws.amazon.com/rds/,"Millions of active databases across MySQL, PostgreSQL, Aurora indicating multi-engine adoption"
GCP,Firestore,Developer Adoption,45,2024-Q3,https://cloud.google.com/blog/products/databases/,"Estimated growth in NoSQL document database adoption for multi-platform applications"
GCP,BigQuery,Data Processing,650,2024-Q3,https://cloud.google.com/bigquery/,"Petabytes processed monthly indicating unified analytics platform adoption"
Azure,Cosmos DB,Global Distribution,89,2024-Q4,https://azure.microsoft.com/en-us/products/cosmos-db/,"Percentage of deployments using multi-region and multi-API capabilities"
Azure,API Management,Gateway Requests,2.8,2024-Q4,https://azure.microsoft.com/en-us/products/api-management/,"Billions of monthly API requests processed through unified gateway platform"
MongoDB,Atlas Search,Feature Adoption,67,2024-Q3,https://www.mongodb.com/products/atlas/atlas-search/,"Percentage of Atlas customers using integrated search alongside document database"
MongoDB,Multi-Cloud Deploy,Customer Percentage,43,2024-Q3,https://investors.mongodb.com/,"Customers deploying across multiple cloud providers using unified Atlas platform"
Snowflake,Workload Diversity,Platform Utilization,78,2024-Q4,https://www.snowflake.com/workloads/,"Percentage of customers using multiple workloads (analytics, ML, apps) on unified platform"
Snowflake,Cross-Cloud Sharing,Data Exchange,1.2,2024-Q4,https://www.snowflake.com/data-cloud/,"Billions of data objects shared across cloud boundaries through unified platform"
DataStax,Vector Search,Adoption Rate,52,2024-Q3,https://www.datastax.com/products/vector-search/,"Percentage of Astra DB customers adopting vector search alongside document storage"
DataStax,Multi-Model Usage,Feature Utilization,38,2024-Q3,https://www.datastax.com/blog/,"Customers using both document and vector capabilities in unified deployments"
Confluent,Schema Registry,Platform Integration,85,2024-Q3,https://docs.confluent.io/platform/current/schema-registry/,"Percentage of Confluent Cloud customers using schema management for unified data"
Confluent,Connector Ecosystem,Integration Points,750,2024-Q3,https://www.confluent.io/hub/,"Number of available connectors enabling unified data pipeline integration"
Redis,JSON and Search,Multi-Module,41,2024-Q3,https://redis.io/docs/stack/,"Percentage of Redis Enterprise customers using multiple data structure modules"
Redis,Cloud Adoption,Managed Service,73,2024-Q3,https://redis.com/redis-enterprise-cloud/,"Percentage of enterprise workloads moving to managed Redis Cloud platform"
Elastic,Unified Platform,Use Case Coverage,56,2024-Q4,https://www.elastic.co/elastic-stack/,"Percentage of customers using Elasticsearch for multiple use cases (search, observability, security)"
Elastic,Cloud Native,Deployment Preference,69,2024-Q4,https://www.elastic.co/elasticsearch-service/,"Percentage of new deployments choosing cloud-native unified platform"
PlanetScale,Branching Workflow,Developer Adoption,78,2024-Q3,https://planetscale.com/docs/concepts/branching/,"Percentage of development teams adopting database branching for unified workflows"
PlanetScale,Serverless Scaling,Auto-Scale Usage,84,2024-Q3,https://planetscale.com/docs/concepts/scaling/,"Percentage of databases leveraging automatic scaling in serverless platform"
Neon,Branch Deployment,Development Pattern,71,2024-Q3,https://neon.tech/docs/guides/branching/,"Percentage of projects using database branching for unified development lifecycle"
Neon,Auto-Scaling,Resource Optimization,88,2024-Q3,https://neon.tech/docs/introduction/auto-scaling/,"Percentage utilization of automatic compute scaling in serverless PostgreSQL"
