cloud_provider,primitive_category,primitive_name,launch_date,launch_year,key_capability,performance_spec,relevance_to_separation,evolution_milestone,source_url
AWS,Object Storage,S3,2006-03-14,2006,Object storage with REST API,Virtually unlimited capacity,Foundation for separated storage architectures,First major cloud object storage,https://aws.amazon.com/about-aws/whats-new/2006/03/13/amazon-s3/
AWS,Block Storage,EBS,2008-08-20,2008,Persistent block storage for EC2,Up to 1000 IOPS,Enables persistent storage independent of compute instances,First cloud block storage service,https://aws.amazon.com/about-aws/whats-new/2008/08/20/amazon-ebs/
Microsoft Azure,Block Storage,Page Blobs,2010-02-01,2010,Random access block storage,Up to 500 IOPS per blob,Foundation for VHD and database storage,Block storage abstraction over object storage,https://azure.microsoft.com/en-us/updates/
Microsoft Azure,Object Storage,Blob Storage,2010-02-01,2010,REST-based object storage,Exabyte scale,Object storage foundation for data lakes,Multi-protocol object storage,https://azure.microsoft.com/en-us/updates/
Google Cloud,Object Storage,Cloud Storage,2010-05-19,2010,Global object storage with strong consistency,"Unlimited capacity, strong consistency",Consistent object storage for data lakes,Strongly consistent object storage,https://cloud.google.com/blog/products/storage-data-transfer/google-cloud-storage-now-available
AWS,Memory Storage,ElastiCache,2011-08-22,2011,Managed in-memory cache,Sub-millisecond latency,Separated caching layer,Cache as a service,https://aws.amazon.com/about-aws/whats-new/2011/08/22/introducing-amazon-elasticache/
Google Cloud,Block Storage,Persistent Disk,2012-06-28,2012,Network-attached block storage,Up to 3000 IOPS,Network storage independent of instances,Network-first block storage design,https://cloud.google.com/blog/products/compute/google-compute-engine-is-now-generally-available
AWS,Block Storage,EBS Provisioned IOPS,2012-07-31,2012,Guaranteed IOPS performance,Up to 4000 IOPS,Predictable storage performance independent of instance type,Performance guarantees for database workloads,https://aws.amazon.com/about-aws/whats-new/2012/07/31/announcing-provisioned-iops-for-amazon-ebs/
AWS,Networking,SR-IOV,2013-01-17,2013,Hardware-level network virtualization,Near bare-metal network performance,Low-latency networking for remote storage access,Hardware-accelerated networking,https://aws.amazon.com/about-aws/whats-new/2013/01/17/new-amazon-ec2-instance-types-cr1-and-hi1/
Google Cloud,Block Storage,SSD Persistent Disk,2014-03-25,2014,High-performance SSD storage,Up to 15000 IOPS,High-performance network storage,SSD-based persistent storage,https://cloud.google.com/blog/products/compute/ssd-persistent-disks-and-price-reductions-for-compute-engine
Microsoft Azure,Memory Storage,Cache for Redis,2014-04-03,2014,Managed Redis cache service,Up to 530 GB memory,Distributed caching layer,Redis as a service,https://azure.microsoft.com/en-us/updates/azure-redis-cache-now-generally-available/
Microsoft Azure,Block Storage,Premium SSD,2014-12-15,2014,High-performance SSD storage,Up to 5000 IOPS,High-performance storage for database workloads,SSD-based cloud storage,https://azure.microsoft.com/en-us/updates/premium-storage-high-performance-storage-for-azure-virtual-machine-workloads/
Google Cloud,Object Storage,Nearline Storage,2015-03-23,2015,Infrequent access storage tier,~3 second access time,Tiered storage for cost optimization,Multiple storage tiers,https://cloud.google.com/blog/products/storage-data-transfer/google-cloud-storage-nearline-a-new-storage-class
AWS,Networking,Enhanced Networking,2015-06-29,2015,"High bandwidth, low latency networking",Up to 20 Gbps,High-performance networking for storage separation,Dedicated high-speed networking,https://aws.amazon.com/about-aws/whats-new/2015/06/29/enhanced-networking-for-amazon-ec2/
Google Cloud,Networking,Custom VPC,2015-08-27,2015,Software-defined networking,Global VPC with regional subnets,Network isolation for multi-tenant storage,Global software-defined networking,https://cloud.google.com/blog/products/networking/introducing-google-cloud-vpcs-global-virtual-cloud-networks
AWS,Object Storage,S3 Transfer Acceleration,2016-04-19,2016,Global acceleration via CloudFront edge,50-500% faster transfers,Improved access patterns for remote storage,Geographic performance optimization,https://aws.amazon.com/about-aws/whats-new/2016/04/19/amazon-s3-transfer-acceleration/
Microsoft Azure,Networking,Accelerated Networking,2016-09-26,2016,SR-IOV and hardware offload,Up to 30 Gbps,Low-latency networking for storage access,Hardware-accelerated networking,https://azure.microsoft.com/en-us/updates/accelerated-networking-is-now-generally-available/
AWS,Networking,Nitro System,2017-11-28,2017,Hardware offload for networking and storage,Up to 100 Gbps networking,Hardware acceleration for separated architectures,Purpose-built hardware for cloud primitives,https://aws.amazon.com/about-aws/whats-new/2017/11/introducing-amazon-ec2-bare-metal-instances/
Microsoft Azure,Object Storage,Data Lake Storage Gen2,2018-06-27,2018,Hierarchical namespace on Blob Storage,Optimized for analytics workloads,Analytics-optimized object storage,Hadoop-compatible object storage,https://azure.microsoft.com/en-us/updates/azure-data-lake-storage-gen2-available/
Microsoft Azure,Networking,InfiniBand,2018-08-16,2018,RDMA over InfiniBand,100 Gbps RDMA,Ultra-low latency for HPC and database workloads,RDMA networking in cloud,https://azure.microsoft.com/en-us/updates/hb-and-hc-azure-vm-sizes-with-infiniband-now-available/
Google Cloud,Specialized Storage,Filestore,2018-09-20,2018,Managed NFS file storage,Up to 16 GB/s,Shared file storage for applications,Managed NFS service,https://cloud.google.com/blog/products/storage-data-transfer/cloud-filestore-managed-nfs-for-applications
Google Cloud,Memory Storage,Memorystore,2018-09-25,2018,Managed Redis and Memcached,Up to 300 GB memory,Managed memory-based storage,Multiple memory engines as a service,https://cloud.google.com/blog/products/databases/announcing-cloud-memorystore-managed-redis-and-memcached
AWS,Object Storage,S3 Intelligent Tiering,2018-11-26,2018,Automatic cost optimization across access tiers,Variable based on access patterns,Automated storage optimization for separated architectures,Intelligent data lifecycle management,https://aws.amazon.com/about-aws/whats-new/2018/11/s3-intelligent-tiering/
AWS,Specialized Storage,FSx for Lustre,2018-11-28,2018,High-performance parallel file system,Up to hundreds of GB/s,Shared high-performance storage for HPC workloads,Purpose-built HPC storage,https://aws.amazon.com/about-aws/whats-new/2018/11/announcing-amazon-fsx-for-lustre/
Microsoft Azure,Specialized Storage,NetApp Files,2019-05-06,2019,Enterprise NFS/SMB file storage,Up to 4.5 GB/s,Enterprise shared file storage,Enterprise file system as a service,https://azure.microsoft.com/en-us/updates/azure-netapp-files-is-now-generally-available/
Google Cloud,Networking,gVNIC,2019-07-23,2019,Hardware-optimized virtual networking,Up to 100 Gbps,High-performance networking for storage,Purpose-built cloud networking,https://cloud.google.com/blog/products/networking/introducing-gvnic-a-new-virtual-network-interface-for-google-cloud
AWS,Block Storage,EBS Multi-Attach,2020-02-14,2020,Multiple instances can access same EBS volume,Up to 16 instances per volume,Enables shared storage architectures,Shared-disk architecture support,https://aws.amazon.com/about-aws/whats-new/2020/02/amazon-ebs-multi-attach-available/
Microsoft Azure,Block Storage,Shared Disks,2020-03-30,2020,Multiple VMs can access same managed disk,Up to 100 shared instances,Shared-disk clustering and HA scenarios,Native shared storage support,https://azure.microsoft.com/en-us/updates/azure-shared-disks-available/
AWS,Block Storage,EBS gp3,2020-12-01,2020,Independent IOPS and throughput scaling,"16000 IOPS, 1000 MiB/s baseline",Decoupled performance from capacity,Performance-capacity separation at storage layer,https://aws.amazon.com/about-aws/whats-new/2020/12/introducing-new-amazon-ebs-general-purpose-volumes-gp3/
Google Cloud,Block Storage,Multi-Regional Persistent Disk,2021-06-10,2021,Regional disk replication,Cross-zone synchronous replication,Geographic data distribution,Regional storage resilience,https://cloud.google.com/blog/products/storage-data-transfer/regional-persistent-disks-ga
