cloud,collection_date,company,cost_reduction_pct,cost_usd,cost_usd_after,cost_usd_before,data_source,data_type,dest_region,gb_moved,industry,monthly_cost,movement_type,notes,optimization,optimization_applied,replication_type,service,source_region,timeframe_months
AWS,2025-08-20,Netflix,80,85000.0,,,public_case_studies_and_documented_scenarios,customer_case_study,internet_global,1000000,streaming,,content_delivery,"Pre-optimization costs, reduced via CDN strategy",,CloudFront + Open Connect,,,us_east_1,
GCP,2025-08-20,Spotify,40,60000.0,,,public_case_studies_and_documented_scenarios,customer_case_study,internet_global,500000,audio_streaming,,audio_streaming,Global music streaming egress costs,,Multi-region caching,,,us_central1,
AWS,2025-08-20,E-commerce Platform A,60,4250.0,,,public_case_studies_and_documented_scenarios,customer_case_study,internet_api_consumers,50000,e_commerce,,api_responses,API response data egress for mobile apps,,Response compression + caching,,,us_west_2,
Azure,2025-08-20,Financial Services Corp,75,2175.0,,,public_case_studies_and_documented_scenarios,customer_case_study,internet_trading_platforms,25000,financial_services,,real_time_data,Real-time market data distribution,,Delta updates only,,,east_us,
Multi_AWS_GCP,2025-08-20,Gaming Studio,70,17400.0,,,public_case_studies_and_documented_scenarios,customer_case_study,internet_gaming_clients,200000,gaming,,game_assets,Game asset downloads and updates,,P2P asset distribution,,,multi_cloud,
GCP,2025-08-20,Analytics SaaS,50,9000.0,,,public_case_studies_and_documented_scenarios,customer_case_study,customer_data_warehouses,75000,analytics,,data_export,Customer data export and ETL processes,,Compressed exports + scheduling,,,us_central1,
AWS,2025-08-20,,,200.0,,,public_case_studies_and_documented_scenarios,database_scenario,us_west_2,10000,,True,db_replication,Cross-region read replica data transfer,,,cross_region_read_replica,RDS_PostgreSQL,us_east_1,
AWS,2025-08-20,,,4250.0,,,public_case_studies_and_documented_scenarios,database_scenario,internet_backup_service,50000,,True,db_backup,Monthly database backup to external service,,,backup_export,RDS_MySQL,us_east_1,
AWS,2025-08-20,,,1740.0,,,public_case_studies_and_documented_scenarios,database_scenario,eu_west_1,20000,,True,aurora_global,Aurora Global Database cross-region sync,,,global_cluster_sync,Aurora_Global_Database,us_east_1,
GCP,2025-08-20,,,640.0,,,public_case_studies_and_documented_scenarios,database_scenario,asia_southeast1,8000,,True,cloudsql_replica,Cloud SQL cross-region read replica,,,cross_region_replica,Cloud_SQL_PostgreSQL,us_central1,
Azure,2025-08-20,,,1305.0,,,public_case_studies_and_documented_scenarios,database_scenario,west_europe,15000,,True,sql_geo_replication,Azure SQL active geo-replication,,,active_geo_replication,Azure_SQL_Database,east_us,
AWS,2025-08-20,,,42.5,,,public_case_studies_and_documented_scenarios,database_scenario,redshift_us_west_2,500,,False,external_table_scan,Redshift Spectrum scanning S3 cross-region,,,external_scan,Redshift_Spectrum,s3_us_east_1,
GCP,2025-08-20,,,80.0,,,public_case_studies_and_documented_scenarios,database_scenario,bigquery_us_west1,1000,,False,external_table_query,BigQuery external table cross-region query,,,external_query,BigQuery_External_Tables,gcs_us_central1,
AWS,2025-08-20,,,6800.0,1700.0,8500.0,public_case_studies_and_documented_scenarios,optimization_outcome,internet_global,100000,,,cdn_optimization,Reduced egress costs by 80% with CDN,CloudFront implementation,,,,us_east_1,1
GCP,2025-08-20,,,2160.0,1440.0,3600.0,public_case_studies_and_documented_scenarios,optimization_outcome,internet_api_consumers,30000,,,api_compression,gzip compression reduced transfer volume by 60%,Response compression + caching,,,,us_central1,1
Azure,2025-08-20,,,3350.0,1000.0,4350.0,public_case_studies_and_documented_scenarios,optimization_outcome,customer_proximity_regions,50000,,,regional_migration,Moved workloads closer to users,Multi-region deployment,,,,east_us,1
Multi_AWS_GCP,2025-08-20,,,4176.0,2784.0,6960.0,public_case_studies_and_documented_scenarios,optimization_outcome,analytics_platforms,80000,,,batch_optimization,Moved from real-time to batch with delta updates,Batch processing + delta sync,,,,multi_cloud,1
