provider,primary_region,replica_region,stack_type,gb_replicated,policy_objects,monthly_cost_usd,governance_complexity,compliance_tier,data_sovereignty,latency_ms
AWS,us-east-1,us-west-2,RDS Multi-AZ Cross-Region,100,10,13.8,Medium,Enterprise,Required,80
AWS,us-east-1,us-west-2,RDS Multi-AZ Cross-Region,1000,10,138.0,Medium,Enterprise,Required,80
AWS,us-east-1,us-west-2,RDS Multi-AZ Cross-Region,10000,10,1380.0,Medium,Enterprise,Required,80
AWS,us-east-1,us-west-2,RDS Multi-AZ Cross-Region,100000,100,13800.0,High,Enterprise,Required,80
AWS,us-east-1,eu-west-1,RDS Multi-AZ Cross-Region,100,10,13.8,Medium,Enterprise,Required,80
AWS,us-east-1,eu-west-1,RDS Multi-AZ Cross-Region,1000,10,138.0,Medium,Enterprise,Required,80
AWS,us-east-1,eu-west-1,RDS Multi-AZ Cross-Region,10000,10,1380.0,Medium,Enterprise,Required,80
AWS,us-east-1,eu-west-1,RDS Multi-AZ Cross-Region,100000,100,13800.0,High,Enterprise,Required,80
AWS,us-east-1,ap-southeast-1,RDS Multi-AZ Cross-Region,100,10,13.8,Medium,Enterprise,Required,150
AWS,us-east-1,ap-southeast-1,RDS Multi-AZ Cross-Region,1000,10,138.0,Medium,Enterprise,Required,150
AWS,us-east-1,ap-southeast-1,RDS Multi-AZ Cross-Region,10000,10,1380.0,Medium,Enterprise,Required,150
AWS,us-east-1,ap-southeast-1,RDS Multi-AZ Cross-Region,100000,100,13800.0,High,Enterprise,Required,150
AWS,us-east-1,ap-northeast-1,RDS Multi-AZ Cross-Region,100,10,13.8,Medium,Enterprise,Required,150
AWS,us-east-1,ap-northeast-1,RDS Multi-AZ Cross-Region,1000,10,138.0,Medium,Enterprise,Required,150
AWS,us-east-1,ap-northeast-1,RDS Multi-AZ Cross-Region,10000,10,1380.0,Medium,Enterprise,Required,150
AWS,us-east-1,ap-northeast-1,RDS Multi-AZ Cross-Region,100000,100,13800.0,High,Enterprise,Required,150
AWS,us-west-2,us-east-1,RDS Multi-AZ Cross-Region,100,10,13.8,Medium,Enterprise,Required,80
AWS,us-west-2,us-east-1,RDS Multi-AZ Cross-Region,1000,10,138.0,Medium,Enterprise,Required,80
AWS,us-west-2,us-east-1,RDS Multi-AZ Cross-Region,10000,10,1380.0,Medium,Enterprise,Required,80
AWS,us-west-2,us-east-1,RDS Multi-AZ Cross-Region,100000,100,13800.0,High,Enterprise,Required,80
AWS,us-west-2,eu-west-1,RDS Multi-AZ Cross-Region,100,10,13.8,Medium,Enterprise,Required,80
