vendor,product,compute_storage_separated,architecture_type,engine_type,storage_medium,compute_scaling_unit,storage_scaling_unit,min_storage_gb,max_storage_gb,independent_scaling,autoscaling_compute,autoscaling_storage,pricing_model,launch_year,compute_storage_coupling,source_url
AWS,RDS MySQL,Limited,Shared-nothing with EBS,OLTP,"EBS (gp3, io1, io2)",Instance type,GB,20,65536,False,False,True,Instance + Storage + IOPS,2009,Coupled via instance sizing,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/
AWS,Aurora MySQL,Yes,Shared-disk with distributed log,OLTP,Aurora distributed storage,ACU or instance type,Automatic 10GB increments,10,131072,True,True,True,Compute + Storage (separate),2014,Decoupled,https://docs.aws.amazon.com/AmazonRDS/latest/AuroraUserGuide/
AWS,Redshift,Partial,Shared-nothing with local/S3 hybrid,OLAP,Local SSD + S3 (Spectrum),Node type,Node-attached or unlimited (S3),160,Unlimited via Spectrum,Partial (via Spectrum),True,False,Node-based + Spectrum queries,2012,Mixed (local) / Decoupled (Spectrum),https://docs.aws.amazon.com/redshift/
AWS,Aurora Serverless v2,Yes,Shared-disk with distributed log,OLTP,Aurora distributed storage,ACU (0.5 to 128),Automatic 10GB increments,10,131072,True,True,True,ACU seconds + Storage (separate),2022,Fully decoupled,https://docs.aws.amazon.com/AmazonRDS/latest/AuroraUserGuide/aurora-serverless-v2.html
Microsoft Azure,SQL Database,Yes,Shared-disk with page server,OLTP,Premium SSD,DTU or vCore,GB,1,4096,True,True,True,Compute + Storage (separate),2010,Decoupled,https://docs.microsoft.com/en-us/azure/azure-sql/database/
Microsoft Azure,Synapse SQL Pool,Yes,Shared-nothing with object storage,OLAP,Azure Blob Storage,DWU,Unlimited (object store),No minimum,Unlimited,True,True,False,Compute + Storage (separate),2016,Fully decoupled,https://docs.microsoft.com/en-us/azure/synapse-analytics/
Microsoft Azure,Cosmos DB,Yes,Multi-model with global distribution,Multi-model (Document/Graph/KV),Distributed SSD,RU/s,GB,No minimum,Unlimited,True,True,True,RU/s + Storage (separate),2017,Fully decoupled,https://docs.microsoft.com/en-us/azure/cosmos-db/
Google Cloud,Cloud SQL,Limited,Shared-nothing with persistent disks,OLTP,Persistent Disk (SSD/HDD),Machine type,GB,10,65536,False,False,True,Instance + Storage + Operations,2011,Coupled via machine sizing,https://cloud.google.com/sql/docs
Google Cloud,BigQuery,Yes,Shared-nothing with object storage,OLAP,Google Cloud Storage (Colossus),Slots,Unlimited (object store),No minimum,Unlimited,True,True,False,Slots + Storage (separate),2010,Fully decoupled,https://cloud.google.com/bigquery/docs
Google Cloud,Spanner,Yes,Shared-disk with global consistency,NewSQL/OLTP,Distributed storage (Colossus),Processing units,Automatic,No minimum,Unlimited,True,True,True,Processing units + Storage (separate),2017,Decoupled,https://cloud.google.com/spanner/docs
Snowflake,Data Cloud,Yes,Shared-disk with object storage,OLAP,Cloud object storage (S3/Blob/GCS),Warehouse size (XS to 6XL),Unlimited (object store),No minimum,Unlimited,True,True,False,Credits (compute) + Storage (separate),2014,Fully decoupled,https://docs.snowflake.com/en/user-guide/intro-key-concepts.html
Databricks,SQL Warehouse,Yes,Shared-nothing with object storage,OLAP/Analytics,Cloud object storage (Delta Lake),DBU,Unlimited (object store),No minimum,Unlimited,True,True,False,DBU + Storage (separate),2020,Fully decoupled,https://docs.databricks.com/sql/admin/sql-endpoints.html
MongoDB,Atlas,Limited,Shared-nothing with replica sets,Document/OLTP,Cloud provider disks,Cluster tier,GB,10,4096,False,True,True,Instance + Storage bundled,2016,Partially coupled,https://docs.atlas.mongodb.com/
Elastic,Elasticsearch Service,Limited,Shared-nothing with local storage,Search/Analytics,Local SSD/HDD,Node configuration,GB per node,1,Variable by node type,False,True,False,Node-based (compute+storage),2015,Coupled,https://www.elastic.co/guide/en/cloud/current/
Oracle,Autonomous Database,Yes,Shared-disk with Exadata,OLTP/OLAP,Exadata storage servers,OCPU,TB,1024,393216,True,True,True,OCPU + Storage (separate),2018,Decoupled,https://docs.oracle.com/en/cloud/paas/autonomous-database/
