recovery_strategy,strategy_type,avg_recovery_time_minutes,success_rate_percentage,automation_level,skill_level_required,cost_complexity,use_case_scenario,rollback_safety,data_loss_risk,downtime_duration_minutes,implementation_difficulty,monitoring_requirements
immediate_rollback,reactive,5,95.0,high,low,low,breaking_schema_detected,high,none,2,easy,automated_alerts
schema_versioning_rollback,reactive,15,92.0,high,medium,medium,compatibility_break_detected,high,none,5,moderate,version_tracking
checkpoint_restore,reactive,45,88.0,medium,medium,medium,data_corruption_detected,medium,minimal,30,moderate,checkpoint_monitoring
manual_data_repair,reactive,180,75.0,low,high,high,complex_schema_conflicts,low,potential,120,difficult,manual_validation
emergency_pipeline_bypass,reactive,30,85.0,medium,medium,high,critical_pipeline_failure,medium,none,15,moderate,pipeline_monitoring
gradual_rollout,proactive,120,98.0,medium,medium,medium,planned_breaking_change,high,none,0,moderate,feature_flags
canary_deployment,proactive,90,96.0,high,medium,medium,schema_change_validation,high,none,0,moderate,metrics_monitoring
blue_green_schema,proactive,60,94.0,high,high,high,zero_downtime_required,high,none,0,difficult,dual_environment
backward_compatibility_bridge,proactive,240,89.0,low,high,high,legacy_system_support,medium,none,0,difficult,compatibility_testing
schema_migration_script,proactive,150,91.0,medium,high,medium,planned_data_transformation,medium,minimal,45,difficult,migration_monitoring
field_deprecation_process,proactive,720,97.0,low,medium,low,planned_field_removal,high,none,0,easy,deprecation_tracking
default_value_injection,reactive,20,93.0,high,low,low,missing_required_field,high,none,10,easy,data_validation
null_value_handling,reactive,25,90.0,high,low,low,optional_field_missing,high,none,5,easy,null_monitoring
type_coercion_recovery,reactive,35,82.0,medium,medium,medium,data_type_mismatch,medium,potential,15,moderate,type_validation
partition_rebuild,reactive,300,87.0,low,high,high,partition_schema_change,low,none,180,difficult,partition_monitoring
index_recreation,reactive,120,95.0,medium,medium,medium,index_incompatibility,high,none,60,moderate,index_monitoring
cache_invalidation,reactive,10,99.0,high,low,low,schema_cache_mismatch,high,none,5,easy,cache_monitoring
replication_resync,reactive,480,83.0,low,high,high,cross_region_schema_drift,medium,potential,240,difficult,replication_monitoring
consumer_group_reset,reactive,40,88.0,medium,medium,low,kafka_consumer_incompatibility,medium,none,20,moderate,consumer_monitoring
api_version_fallback,reactive,15,94.0,high,medium,medium,api_schema_incompatibility,high,none,0,moderate,api_monitoring
