vendor,plan,entry_guide_url,default_path,steps_to_first_query,notes
AWS DocumentDB,Free Tier,https://docs.aws.amazon.com/documentdb/latest/developerguide/get-started-guide.html,single_api,4,"MongoDB-compatible API; Steps: 1) Create cluster 2) Connect via CloudShell 3) Insert data 4) Query data"
AWS DynamoDB,Free Tier,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/GettingStartedDynamoDB.html,single_api,3,"NoSQL API; Steps: 1) Create table 2) Add items 3) Query items"
AWS Neptune,Free Tier,https://docs.aws.amazon.com/neptune/latest/userguide/get-started.html,single_api,5,"Graph API (Gremlin/SPARQL); Steps: 1) Create cluster 2) Create notebook 3) Connect 4) Load data 5) Query"
Azure Cosmos DB,Free Account,https://docs.microsoft.com/en-us/azure/cosmos-db/create-cosmosdb-resources-portal,gateway,3,"Multi-API gateway (SQL/MongoDB/Cassandra/Gremlin/Table); Steps: 1) Create account 2) Create database 3) Query via chosen API"
GCP Firestore,Always Free,https://firebase.google.com/docs/firestore/quickstart,single_api,3,"NoSQL document API; Steps: 1) Create project 2) Initialize Firestore 3) Add and read data"
GCP Cloud SQL,Free Trial,https://cloud.google.com/sql/docs/mysql/quickstart,single_api,4,"SQL API; Steps: 1) Create instance 2) Create database 3) Connect 4) Query"
MongoDB Atlas,Free Tier,https://docs.atlas.mongodb.com/getting-started/,single_api,4,"MongoDB API; Steps: 1) Create cluster 2) Create user 3) Connect 4) Insert and query"
DataStax Astra,Free Tier,https://docs.datastax.com/en/astra-serverless/docs/getting-started/,gateway,3,"Multi-API (CQL/Document/GraphQL); Steps: 1) Create database 2) Choose API 3) Connect and query"
Neo4j Aura,Free Tier,https://neo4j.com/docs/aura/auradb-free/getting-started/,single_api,3,"Cypher API; Steps: 1) Create database 2) Connect via Browser 3) Run Cypher queries"
Elastic Cloud,Free Trial,https://www.elastic.co/guide/en/cloud/current/ec-getting-started.html,gateway,4,"Multi-API (Search/SQL/Vector); Steps: 1) Create deployment 2) Connect to Kibana 3) Index data 4) Search/query"
PlanetScale,Free Tier,https://docs.planetscale.com/tutorials/planetscale-quick-start-guide,single_api,5,"MySQL-compatible API; Steps: 1) Create database 2) Create branch 3) Connect 4) Create schema 5) Query"
Supabase,Free Tier,https://supabase.com/docs/guides/getting-started/quickstarts/nextjs,single_api,3,"PostgreSQL API with REST; Steps: 1) Create project 2) Create table 3) Insert and query via SQL or REST"
FaunaDB,Free Tier,https://docs.fauna.com/fauna/current/learn/quick_start/,single_api,4,"FQL API; Steps: 1) Create database 2) Create collection 3) Create document 4) Query with FQL"
Redis Cloud,Free Tier,https://docs.redis.com/latest/rc/rc-quickstart/,single_api,3,"Redis API; Steps: 1) Create database 2) Connect via CLI/client 3) Set/get key-value pairs"
Cockroach Cloud,Free Tier,https://www.cockroachlabs.com/docs/cockroachcloud/quickstart.html,single_api,4,"PostgreSQL-compatible API; Steps: 1) Create cluster 2) Create user 3) Connect 4) Create table and query"
