dataset_id,evolution_event,downstream_failures,recovery_time_minutes,table_format,change_type,compatibility_level,pipeline_count_affected,failure_severity,recovery_strategy,versioning_approach,timestamp,organization_size,industry_sector
confluent_prod_2024_q1,add_optional_field,0,0,avro,additive,forward,0,none,none,semantic_versioning,2024-01-15T10:30:00Z,enterprise,financial_services
confluent_prod_2024_q1,rename_field,12,45,avro,breaking,none,12,high,rollback_revert,semantic_versioning,2024-01-22T14:20:00Z,enterprise,financial_services
delta_analytics_2024,add_column_default,2,15,delta_lake,additive,backward,8,medium,schema_migration,auto_versioning,2024-02-03T09:15:00Z,mid_market,analytics
iceberg_retail_2024,drop_column,25,180,iceberg,breaking,none,25,critical,manual_repair,branch_versioning,2024-02-10T16:45:00Z,enterprise,retail
hudi_streaming_2024,change_data_type,8,90,hudi,breaking,none,15,high,checkpoint_restore,timeline_versioning,2024-02-18T11:30:00Z,startup,streaming_media
parquet_warehouse_2024,add_nested_field,0,0,parquet,additive,forward,0,none,none,manual_versioning,2024-03-01T08:00:00Z,enterprise,data_warehouse
confluent_fintech_2024,remove_required_field,18,120,avro,breaking,none,22,critical,emergency_rollback,semantic_versioning,2024-03-08T13:45:00Z,mid_market,fintech
delta_ecommerce_2024,nullable_to_required,6,35,delta_lake,breaking,none,12,medium,data_backfill,auto_versioning,2024-03-15T10:20:00Z,enterprise,ecommerce
iceberg_logistics_2024,reorder_columns,1,5,iceberg,neutral,full,3,low,ignore,branch_versioning,2024-03-22T15:10:00Z,mid_market,logistics
hudi_iot_2024,add_array_field,3,20,hudi,additive,backward,6,medium,schema_upgrade,timeline_versioning,2024-03-29T12:00:00Z,startup,iot
parquet_healthcare_2024,change_field_name,15,75,parquet,breaking,none,18,high,manual_migration,manual_versioning,2024-04-05T09:30:00Z,enterprise,healthcare
confluent_gaming_2024,add_union_type,4,25,avro,additive,backward,7,medium,gradual_rollout,semantic_versioning,2024-04-12T14:15:00Z,mid_market,gaming
delta_manufacturing_2024,drop_partition_column,22,150,delta_lake,breaking,none,28,critical,partition_rebuild,auto_versioning,2024-04-19T11:45:00Z,enterprise,manufacturing
iceberg_media_2024,add_computed_column,0,0,iceberg,additive,forward,0,none,none,branch_versioning,2024-04-26T16:20:00Z,startup,media
hudi_advertising_2024,change_precision_scale,9,65,hudi,breaking,none,14,high,precision_migration,timeline_versioning,2024-05-03T08:45:00Z,mid_market,advertising
parquet_government_2024,add_enum_constraint,2,10,parquet,additive,backward,5,low,constraint_validation,manual_versioning,2024-05-10T13:00:00Z,enterprise,government
confluent_energy_2024,split_complex_field,11,85,avro,breaking,none,16,high,field_decomposition,semantic_versioning,2024-05-17T10:15:00Z,enterprise,energy
delta_telecom_2024,merge_duplicate_fields,5,40,delta_lake,breaking,none,9,medium,field_consolidation,auto_versioning,2024-05-24T15:30:00Z,enterprise,telecommunications
iceberg_research_2024,add_metadata_field,0,0,iceberg,additive,forward,0,none,none,branch_versioning,2024-05-31T12:45:00Z,startup,research
hudi_transportation_2024,change_collection_type,7,55,hudi,breaking,none,11,medium,collection_migration,timeline_versioning,2024-06-07T09:20:00Z,mid_market,transportation
parquet_insurance_2024,remove_deprecated_field,13,95,parquet,breaking,none,19,high,deprecation_cleanup,manual_versioning,2024-06-14T14:40:00Z,enterprise,insurance
confluent_realEstate_2024,add_conditional_field,1,8,avro,additive,backward,4,low,conditional_logic,semantic_versioning,2024-06-21T11:55:00Z,mid_market,real_estate
delta_education_2024,normalize_nested_data,16,110,delta_lake,breaking,none,21,high,data_normalization,auto_versioning,2024-06-28T16:10:00Z,enterprise,education
iceberg_aerospace_2024,add_reference_field,0,0,iceberg,additive,forward,0,none,none,branch_versioning,2024-07-05T08:25:00Z,enterprise,aerospace
hudi_fashion_2024,change_string_length,3,18,hudi,semi_breaking,partial,8,medium,length_validation,timeline_versioning,2024-07-12T13:40:00Z,startup,fashion
parquet_consulting_2024,add_localization_fields,2,12,parquet,additive,backward,6,low,localization_support,manual_versioning,2024-07-19T10:05:00Z,mid_market,consulting
confluent_sports_2024,restructure_hierarchy,20,140,avro,breaking,none,24,critical,hierarchy_rebuild,semantic_versioning,2024-07-26T15:20:00Z,mid_market,sports
delta_biotechnology_2024,add_versioned_field,0,0,delta_lake,additive,forward,0,none,none,auto_versioning,2024-08-02T12:35:00Z,startup,biotechnology
iceberg_automotive_2024,change_foreign_key,14,100,iceberg,breaking,none,17,high,reference_update,branch_versioning,2024-08-09T09:50:00Z,enterprise,automotive
hudi_food_service_2024,add_temporal_field,1,6,hudi,additive,backward,3,low,temporal_extension,timeline_versioning,2024-08-16T14:05:00Z,mid_market,food_service
parquet_nonprofit_2024,remove_pii_fields,8,60,parquet,breaking,none,13,medium,privacy_compliance,manual_versioning,2024-08-23T11:15:00Z,mid_market,nonprofit
