vendor,service,api,feature,status,added_date,doc_url
AWS,DocumentDB,MongoDB Wire Protocol,Create Operations,GA,2019-01-09,https://docs.aws.amazon.com/documentdb/latest/developerguide/mongo-apis.html
AWS,DocumentDB,MongoDB Wire Protocol,Read Operations,GA,2019-01-09,https://docs.aws.amazon.com/documentdb/latest/developerguide/mongo-apis.html
AWS,DocumentDB,MongoDB Wire Protocol,Update Operations,GA,2019-01-09,https://docs.aws.amazon.com/documentdb/latest/developerguide/mongo-apis.html
AWS,DocumentDB,MongoDB Wire Protocol,Delete Operations,GA,2019-01-09,https://docs.aws.amazon.com/documentdb/latest/developerguide/mongo-apis.html
AWS,DocumentDB,MongoDB Wire Protocol,Primary Index,GA,2019-01-09,https://docs.aws.amazon.com/documentdb/latest/developerguide/indexes.html
AWS,DocumentDB,MongoDB Wire Protocol,Secondary Index,GA,2019-01-09,https://docs.aws.amazon.com/documentdb/latest/developerguide/indexes.html
AWS,DocumentDB,MongoDB Wire Protocol,Compound Index,GA,2019-01-09,https://docs.aws.amazon.com/documentdb/latest/developerguide/indexes.html
AWS,DocumentDB,MongoDB Wire Protocol,Text Search Index,GA,2019-01-09,https://docs.aws.amazon.com/documentdb/latest/developerguide/text-search.html
AWS,DocumentDB,MongoDB Wire Protocol,Pagination (skip/limit),GA,2019-01-09,https://docs.aws.amazon.com/documentdb/latest/developerguide/mongo-apis.html
AWS,DocumentDB,MongoDB Wire Protocol,Cursor-based Pagination,GA,2019-01-09,https://docs.aws.amazon.com/documentdb/latest/developerguide/mongo-apis.html
AWS,DocumentDB,MongoDB Wire Protocol,Multi-document Transactions,GA,2020-11-18,https://docs.aws.amazon.com/documentdb/latest/developerguide/transactions.html
AWS,DocumentDB,MongoDB Wire Protocol,Read Concern - Local,GA,2019-01-09,https://docs.aws.amazon.com/documentdb/latest/developerguide/consistency.html
AWS,DocumentDB,MongoDB Wire Protocol,Read Concern - Available,GA,2019-01-09,https://docs.aws.amazon.com/documentdb/latest/developerguide/consistency.html
AWS,DocumentDB,MongoDB Wire Protocol,Read Concern - Majority,GA,2020-05-11,https://docs.aws.amazon.com/documentdb/latest/developerguide/consistency.html
AWS,DocumentDB,MongoDB Wire Protocol,Eventual Consistency,GA,2019-01-09,https://docs.aws.amazon.com/documentdb/latest/developerguide/consistency.html
AWS,DynamoDB,DynamoDB API,Create Operations (PutItem),GA,2012-01-25,https://docs.aws.amazon.com/dynamodb/latest/APIReference/API_PutItem.html
AWS,DynamoDB,DynamoDB API,Read Operations (GetItem),GA,2012-01-25,https://docs.aws.amazon.com/dynamodb/latest/APIReference/API_GetItem.html
AWS,DynamoDB,DynamoDB API,Update Operations (UpdateItem),GA,2012-01-25,https://docs.aws.amazon.com/dynamodb/latest/APIReference/API_UpdateItem.html
AWS,DynamoDB,DynamoDB API,Delete Operations (DeleteItem),GA,2012-01-25,https://docs.aws.amazon.com/dynamodb/latest/APIReference/API_DeleteItem.html
AWS,DynamoDB,DynamoDB API,Primary Index (Hash),GA,2012-01-25,https://docs.aws.amazon.com/dynamodb/latest/developerguide/HowItWorks.CoreComponents.html
AWS,DynamoDB,DynamoDB API,Primary Index (Hash+Range),GA,2012-01-25,https://docs.aws.amazon.com/dynamodb/latest/developerguide/HowItWorks.CoreComponents.html
AWS,DynamoDB,DynamoDB API,Global Secondary Index,GA,2013-12-12,https://docs.aws.amazon.com/dynamodb/latest/developerguide/GSI.html
AWS,DynamoDB,DynamoDB API,Local Secondary Index,GA,2013-04-18,https://docs.aws.amazon.com/dynamodb/latest/developerguide/LSI.html
AWS,DynamoDB,DynamoDB API,Full Text Search,NA,NA,https://docs.aws.amazon.com/dynamodb/latest/developerguide/Searching.html
AWS,DynamoDB,DynamoDB API,Pagination (LastEvaluatedKey),GA,2012-01-25,https://docs.aws.amazon.com/dynamodb/latest/APIReference/API_Query.html#DDB-Query-request-ExclusiveStartKey
AWS,DynamoDB,DynamoDB API,Token-based Pagination,GA,2012-01-25,https://docs.aws.amazon.com/dynamodb/latest/developerguide/Query.Pagination.html
AWS,DynamoDB,DynamoDB API,Transactions,GA,2018-11-27,https://docs.aws.amazon.com/dynamodb/latest/developerguide/transaction-apis.html
AWS,DynamoDB,DynamoDB API,Strong Consistency,GA,2012-01-25,https://docs.aws.amazon.com/dynamodb/latest/developerguide/HowItWorks.ReadConsistency.html
AWS,DynamoDB,DynamoDB API,Eventual Consistency,GA,2012-01-25,https://docs.aws.amazon.com/dynamodb/latest/developerguide/HowItWorks.ReadConsistency.html
AWS,Neptune,Gremlin API,Create Operations (addV/addE),GA,2018-05-30,https://docs.aws.amazon.com/neptune/latest/userguide/access-graph-gremlin.html
AWS,Neptune,Gremlin API,Read Operations (V/E),GA,2018-05-30,https://docs.aws.amazon.com/neptune/latest/userguide/access-graph-gremlin.html
AWS,Neptune,Gremlin API,Update Operations (property),GA,2018-05-30,https://docs.aws.amazon.com/neptune/latest/userguide/access-graph-gremlin.html
AWS,Neptune,Gremlin API,Delete Operations (drop),GA,2018-05-30,https://docs.aws.amazon.com/neptune/latest/userguide/access-graph-gremlin.html
AWS,Neptune,SPARQL API,Create Operations (INSERT),GA,2018-05-30,https://docs.aws.amazon.com/neptune/latest/userguide/access-graph-sparql.html
AWS,Neptune,SPARQL API,Read Operations (SELECT),GA,2018-05-30,https://docs.aws.amazon.com/neptune/latest/userguide/access-graph-sparql.html
AWS,Neptune,SPARQL API,Update Operations (UPDATE),GA,2018-05-30,https://docs.aws.amazon.com/neptune/latest/userguide/access-graph-sparql.html
AWS,Neptune,SPARQL API,Delete Operations (DELETE),GA,2018-05-30,https://docs.aws.amazon.com/neptune/latest/userguide/access-graph-sparql.html
AWS,Neptune,Gremlin API,Automatic Indexing,GA,2018-05-30,https://docs.aws.amazon.com/neptune/latest/userguide/feature-overview-indexing.html
AWS,Neptune,SPARQL API,Triple Index,GA,2018-05-30,https://docs.aws.amazon.com/neptune/latest/userguide/feature-overview-indexing.html
AWS,Neptune,Gremlin API,Composite Index,Preview,2023-09-01,https://docs.aws.amazon.com/neptune/latest/userguide/feature-overview-indexing.html
AWS,Neptune,Gremlin API,Full Text Search,Preview,2022-03-15,https://docs.aws.amazon.com/neptune/latest/userguide/full-text-search.html
AWS,Neptune,Gremlin API,Pagination (range/limit),GA,2018-05-30,https://docs.aws.amazon.com/neptune/latest/userguide/access-graph-gremlin.html
AWS,Neptune,SPARQL API,Pagination (LIMIT/OFFSET),GA,2018-05-30,https://docs.aws.amazon.com/neptune/latest/userguide/access-graph-sparql.html
AWS,Neptune,Gremlin API,Multi-statement Transactions,NA,NA,https://docs.aws.amazon.com/neptune/latest/userguide/transactions.html
AWS,Neptune,SPARQL API,Multi-statement Transactions,NA,NA,https://docs.aws.amazon.com/neptune/latest/userguide/transactions.html
AWS,Neptune,Gremlin API,Strong Read Consistency,GA,2018-05-30,https://docs.aws.amazon.com/neptune/latest/userguide/consistency.html
AWS,Neptune,SPARQL API,Strong Read Consistency,GA,2018-05-30,https://docs.aws.amazon.com/neptune/latest/userguide/consistency.html
AWS,Neptune,Gremlin API,Eventual Consistency,GA,2018-05-30,https://docs.aws.amazon.com/neptune/latest/userguide/consistency.html
Azure,Cosmos DB,SQL API,Create Operations (CREATE),GA,2017-05-10,https://docs.microsoft.com/en-us/azure/cosmos-db/sql/sql-api-introduction
Azure,Cosmos DB,SQL API,Read Operations (SELECT),GA,2017-05-10,https://docs.microsoft.com/en-us/azure/cosmos-db/sql/sql-api-introduction
Azure,Cosmos DB,SQL API,Update Operations (REPLACE),GA,2017-05-10,https://docs.microsoft.com/en-us/azure/cosmos-db/sql/sql-api-introduction
Azure,Cosmos DB,SQL API,Delete Operations (DELETE),GA,2017-05-10,https://docs.microsoft.com/en-us/azure/cosmos-db/sql/sql-api-introduction
Azure,Cosmos DB,MongoDB API,Create Operations,GA,2017-05-10,https://docs.microsoft.com/en-us/azure/cosmos-db/mongodb/introduction
Azure,Cosmos DB,MongoDB API,Read Operations,GA,2017-05-10,https://docs.microsoft.com/en-us/azure/cosmos-db/mongodb/introduction
Azure,Cosmos DB,MongoDB API,Update Operations,GA,2017-05-10,https://docs.microsoft.com/en-us/azure/cosmos-db/mongodb/introduction
Azure,Cosmos DB,MongoDB API,Delete Operations,GA,2017-05-10,https://docs.microsoft.com/en-us/azure/cosmos-db/mongodb/introduction
Azure,Cosmos DB,Gremlin API,Create Operations,GA,2017-11-15,https://docs.microsoft.com/en-us/azure/cosmos-db/gremlin/introduction
Azure,Cosmos DB,Gremlin API,Read Operations,GA,2017-11-15,https://docs.microsoft.com/en-us/azure/cosmos-db/gremlin/introduction
Azure,Cosmos DB,Gremlin API,Update Operations,GA,2017-11-15,https://docs.microsoft.com/en-us/azure/cosmos-db/gremlin/introduction
Azure,Cosmos DB,Gremlin API,Delete Operations,GA,2017-11-15,https://docs.microsoft.com/en-us/azure/cosmos-db/gremlin/introduction
Azure,Cosmos DB,Table API,Create Operations,GA,2017-05-10,https://docs.microsoft.com/en-us/azure/cosmos-db/table/introduction
Azure,Cosmos DB,Table API,Read Operations,GA,2017-05-10,https://docs.microsoft.com/en-us/azure/cosmos-db/table/introduction
Azure,Cosmos DB,Table API,Update Operations,GA,2017-05-10,https://docs.microsoft.com/en-us/azure/cosmos-db/table/introduction
Azure,Cosmos DB,Table API,Delete Operations,GA,2017-05-10,https://docs.microsoft.com/en-us/azure/cosmos-db/table/introduction
Azure,Cosmos DB,SQL API,Automatic Indexing,GA,2017-05-10,https://docs.microsoft.com/en-us/azure/cosmos-db/index-policy
Azure,Cosmos DB,SQL API,Composite Index,GA,2017-05-10,https://docs.microsoft.com/en-us/azure/cosmos-db/index-policy
Azure,Cosmos DB,SQL API,Spatial Index,GA,2017-05-10,https://docs.microsoft.com/en-us/azure/cosmos-db/sql/geospatial
