marketplace,vendor,listing_id,listing_name,tile_category,apis_on_tile,api_count,positioning,first_seen,last_seen,description,collection_date
AWS,MongoDB Inc,aws-mongodb-atlas,MongoDB Atlas,Database,Document;Search,2,first-class,2023-01-01,2025-08-20,"Multi-API database service supporting Document, Search",2025-08-20
AWS,Elastic N.V.,aws-elasticsearch-service,Elasticsearch Service,Database,Search;Analytics,2,first-class,2023-01-01,2025-08-20,"Multi-API database service supporting Search, Analytics",2025-08-20
AWS,Redis Labs,aws-redis-enterprise,Redis Enterprise,Database,Key-Value;Search;Time-Series,3,first-class,2023-01-01,2025-08-20,"Multi-API database service supporting Key-Value, Search, Time-Series",2025-08-20
AWS,Neo4j Inc,aws-neo4j-auradb,Neo4j AuraDB,Database,Graph,1,single-purpose,2023-01-01,2025-08-20,Multi-API database service supporting Graph,2025-08-20
AWS,Snowflake Inc,aws-snowflake-data-cloud,Snowflake Data Cloud,Database,SQL;Analytics,2,first-class,2023-01-01,2025-08-20,"Multi-API database service supporting SQL, Analytics",2025-08-20
AWS,DataStax,aws-datastax-astra-db,DataStax Astra DB,Database,NoSQL;Vector;Search,3,first-class,2023-01-01,2025-08-20,"Multi-API database service supporting NoSQL, Vector, Search",2025-08-20
AWS,InfluxData,aws-influxdb-cloud,InfluxDB Cloud,Database,Time-Series,1,single-purpose,2023-01-01,2025-08-20,Multi-API database service supporting Time-Series,2025-08-20
AWS,Couchbase,aws-couchbase-cloud,Couchbase Cloud,Database,Document;Key-Value;Search,3,first-class,2023-01-01,2025-08-20,"Multi-API database service supporting Document, Key-Value, Search",2025-08-20
AWS,TimescaleDB,aws-timescale-cloud,Timescale Cloud,Database,SQL;Time-Series,2,first-class,2023-01-01,2025-08-20,"Multi-API database service supporting SQL, Time-Series",2025-08-20
AWS,CockroachDB,aws-cockroachdb-dedicated,CockroachDB Dedicated,Database,SQL,1,single-purpose,2023-01-01,2025-08-20,Multi-API database service supporting SQL,2025-08-20
AWS,MongoDB Inc,aws-mongodb-atlas,MongoDB Atlas,Database,Document;Search,2,first-class,2023-01-01,2025-08-20,"Multi-API database service supporting Document, Search",2025-08-20
AWS,Elastic N.V.,aws-elasticsearch-service,Elasticsearch Service,Database,Search;Analytics,2,first-class,2023-01-01,2025-08-20,"Multi-API database service supporting Search, Analytics",2025-08-20
AWS,Redis Labs,aws-redis-enterprise,Redis Enterprise,Database,Key-Value;Search;Time-Series,3,first-class,2023-01-01,2025-08-20,"Multi-API database service supporting Key-Value, Search, Time-Series",2025-08-20
AWS,Neo4j Inc,aws-neo4j-auradb,Neo4j AuraDB,Database,Graph,1,single-purpose,2023-01-01,2025-08-20,Multi-API database service supporting Graph,2025-08-20
AWS,Snowflake Inc,aws-snowflake-data-cloud,Snowflake Data Cloud,Database,SQL;Analytics,2,first-class,2023-01-01,2025-08-20,"Multi-API database service supporting SQL, Analytics",2025-08-20
AWS,DataStax,aws-datastax-astra-db,DataStax Astra DB,Database,NoSQL;Vector;Search,3,first-class,2023-01-01,2025-08-20,"Multi-API database service supporting NoSQL, Vector, Search",2025-08-20
AWS,InfluxData,aws-influxdb-cloud,InfluxDB Cloud,Database,Time-Series,1,single-purpose,2023-01-01,2025-08-20,Multi-API database service supporting Time-Series,2025-08-20
AWS,Couchbase,aws-couchbase-cloud,Couchbase Cloud,Database,Document;Key-Value;Search,3,first-class,2023-01-01,2025-08-20,"Multi-API database service supporting Document, Key-Value, Search",2025-08-20
AWS,TimescaleDB,aws-timescale-cloud,Timescale Cloud,Database,SQL;Time-Series,2,first-class,2023-01-01,2025-08-20,"Multi-API database service supporting SQL, Time-Series",2025-08-20
AWS,CockroachDB,aws-cockroachdb-dedicated,CockroachDB Dedicated,Database,SQL,1,single-purpose,2023-01-01,2025-08-20,Multi-API database service supporting SQL,2025-08-20
AWS,MongoDB Inc,aws-mongodb-atlas,MongoDB Atlas,Database,Document;Search,2,first-class,2023-01-01,2025-08-20,"Multi-API database service supporting Document, Search",2025-08-20
AWS,Elastic N.V.,aws-elasticsearch-service,Elasticsearch Service,Database,Search;Analytics,2,first-class,2023-01-01,2025-08-20,"Multi-API database service supporting Search, Analytics",2025-08-20
AWS,Redis Labs,aws-redis-enterprise,Redis Enterprise,Database,Key-Value;Search;Time-Series,3,first-class,2023-01-01,2025-08-20,"Multi-API database service supporting Key-Value, Search, Time-Series",2025-08-20
AWS,Neo4j Inc,aws-neo4j-auradb,Neo4j AuraDB,Database,Graph,1,single-purpose,2023-01-01,2025-08-20,Multi-API database service supporting Graph,2025-08-20
AWS,Snowflake Inc,aws-snowflake-data-cloud,Snowflake Data Cloud,Database,SQL;Analytics,2,first-class,2023-01-01,2025-08-20,"Multi-API database service supporting SQL, Analytics",2025-08-20
AWS,DataStax,aws-datastax-astra-db,DataStax Astra DB,Database,NoSQL;Vector;Search,3,first-class,2023-01-01,2025-08-20,"Multi-API database service supporting NoSQL, Vector, Search",2025-08-20
AWS,InfluxData,aws-influxdb-cloud,InfluxDB Cloud,Database,Time-Series,1,single-purpose,2023-01-01,2025-08-20,Multi-API database service supporting Time-Series,2025-08-20
AWS,Couchbase,aws-couchbase-cloud,Couchbase Cloud,Database,Document;Key-Value;Search,3,first-class,2023-01-01,2025-08-20,"Multi-API database service supporting Document, Key-Value, Search",2025-08-20
AWS,TimescaleDB,aws-timescale-cloud,Timescale Cloud,Database,SQL;Time-Series,2,first-class,2023-01-01,2025-08-20,"Multi-API database service supporting SQL, Time-Series",2025-08-20
AWS,CockroachDB,aws-cockroachdb-dedicated,CockroachDB Dedicated,Database,SQL,1,single-purpose,2023-01-01,2025-08-20,Multi-API database service supporting SQL,2025-08-20
AWS,MongoDB Inc,aws-mongodb-atlas,MongoDB Atlas,Database,Document;Search,2,first-class,2023-01-01,2025-08-20,"Multi-API database service supporting Document, Search",2025-08-20
AWS,Elastic N.V.,aws-elasticsearch-service,Elasticsearch Service,Database,Search;Analytics,2,first-class,2023-01-01,2025-08-20,"Multi-API database service supporting Search, Analytics",2025-08-20
