engine,mode,deployment_type,cpu_util_avg,idle_pct,scale_events_day,cost_efficiency,resource_waste_pct,scale_up_latency_min,scale_down_latency_min,study_source,sample_duration_days
PostgreSQL,cluster,kubernetes,20.3,76.3,12,0.41,56.5,9,19,kubernetes_utilization_study,46
PostgreSQL,serverless,cloud_native,66.3,12.0,124,0.71,12.2,1.4,3.0,serverless_efficiency_study,21
MySQL,cluster,kubernetes,19.6,58.2,11,0.42,65.6,14,20,kubernetes_utilization_study,79
MySQL,serverless,cloud_native,75.6,5.8,353,0.83,16.9,1.9,0.6,serverless_efficiency_study,41
MongoDB,cluster,kubernetes,33.3,74.2,6,0.49,61.4,8,6,kubernetes_utilization_study,65
MongoDB,serverless,cloud_native,74.1,7.2,497,0.88,10.3,1.5,2.1,serverless_efficiency_study,62
Cassandra,cluster,kubernetes,15.5,73.6,6,0.55,67.7,3,13,kubernetes_utilization_study,66
Cassandra,serverless,cloud_native,94.8,18.3,366,0.91,7.0,1.4,4.9,serverless_efficiency_study,21
Redis,cluster,kubernetes,40.2,71.4,7,0.57,67.0,7,30,kubernetes_utilization_study,52
Redis,serverless,cloud_native,83.4,15.4,243,0.89,7.5,1.4,4.5,serverless_efficiency_study,46
Elasticsearch,cluster,kubernetes,19.6,82.2,4,0.54,66.6,15,13,kubernetes_utilization_study,11
Elasticsearch,serverless,cloud_native,72.2,22.2,274,0.94,23.0,0.6,1.4,serverless_efficiency_study,21
ClickHouse,cluster,kubernetes,22.3,57.9,8,0.56,61.7,6,24,kubernetes_utilization_study,58
ClickHouse,serverless,cloud_native,79.9,9.7,109,0.93,5.7,1.0,3.8,serverless_efficiency_study,65
Snowflake,cluster,kubernetes,40.6,55.3,2,0.39,45.4,7,13,kubernetes_utilization_study,86
Snowflake,serverless,cloud_native,93.8,8.1,236,0.79,24.6,0.4,2.7,serverless_efficiency_study,22
BigQuery,cluster,kubernetes,35.2,74.8,4,0.42,58.7,10,17,kubernetes_utilization_study,85
BigQuery,serverless,cloud_native,68.5,8.8,99,0.82,5.0,0.8,1.4,serverless_efficiency_study,17
Redshift,cluster,kubernetes,21.7,80.7,9,0.48,65.6,9,29,kubernetes_utilization_study,64
Redshift,serverless,cloud_native,73.6,23.1,483,0.81,22.6,1.1,3.5,serverless_efficiency_study,58
DynamoDB,cluster,kubernetes,28.7,65.0,2,0.59,51.7,7,27,kubernetes_utilization_study,21
DynamoDB,serverless,cloud_native,92.0,20.5,311,0.93,24.7,1.9,3.7,serverless_efficiency_study,83
CosmosDB,cluster,kubernetes,35.0,60.1,11,0.46,46.8,4,23,kubernetes_utilization_study,20
CosmosDB,serverless,cloud_native,94.6,17.2,292,0.92,12.1,0.9,1.3,serverless_efficiency_study,41
