provider,primary_region,replica_region,stack_type,gb_replicated,policy_objects,monthly_cost_usd,governance_complexity,compliance_tier,data_sovereignty
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Sync Replication + Encryption (PII),500,160,885.94,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Sync Replication + Encryption (PII),2500,160,4429.69,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Sync Replication + Encryption (PII),10000,160,17718.75,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Sync Replication + Encryption (PII),50000,160,88593.75,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Sync Replication + Encryption (PII),250000,800,442968.75,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Async Replication + Policy Engine (PII),500,160,437.5,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Async Replication + Policy Engine (PII),2500,160,2187.5,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Async Replication + Policy Engine (PII),10000,160,8750.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Async Replication + Policy Engine (PII),50000,160,43750.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Async Replication + Policy Engine (PII),250000,800,218750.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Event Sourcing + Audit Trail (PII),500,160,1395.62,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Event Sourcing + Audit Trail (PII),2500,160,6978.12,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Event Sourcing + Audit Trail (PII),10000,160,27912.5,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Event Sourcing + Audit Trail (PII),50000,160,139562.5,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Event Sourcing + Audit Trail (PII),250000,800,697812.5,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Zero-Trust Multi-Region (PII),500,160,2450.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Zero-Trust Multi-Region (PII),2500,160,12250.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Zero-Trust Multi-Region (PII),10000,160,49000.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Zero-Trust Multi-Region (PII),50000,160,245000.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Zero-Trust Multi-Region (PII),250000,800,1225000.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Sync Replication + Encryption (Financial),500,200,1063.12,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Sync Replication + Encryption (Financial),2500,200,5315.62,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Sync Replication + Encryption (Financial),10000,200,21262.5,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Sync Replication + Encryption (Financial),50000,200,106312.5,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Sync Replication + Encryption (Financial),250000,1000,531562.5,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Async Replication + Policy Engine (Financial),500,200,525.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Async Replication + Policy Engine (Financial),2500,200,2625.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Async Replication + Policy Engine (Financial),10000,200,10500.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Async Replication + Policy Engine (Financial),50000,200,52500.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Async Replication + Policy Engine (Financial),250000,1000,262500.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Event Sourcing + Audit Trail (Financial),500,200,1674.75,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Event Sourcing + Audit Trail (Financial),2500,200,8373.75,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Event Sourcing + Audit Trail (Financial),10000,200,33495.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Event Sourcing + Audit Trail (Financial),50000,200,167475.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Event Sourcing + Audit Trail (Financial),250000,1000,837375.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Zero-Trust Multi-Region (Financial),500,200,2940.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Zero-Trust Multi-Region (Financial),2500,200,14700.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Zero-Trust Multi-Region (Financial),10000,200,58800.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Zero-Trust Multi-Region (Financial),50000,200,294000.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Zero-Trust Multi-Region (Financial),250000,1000,1470000.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Sync Replication + Encryption (Healthcare),500,240,1290.94,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Sync Replication + Encryption (Healthcare),2500,240,6454.69,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Sync Replication + Encryption (Healthcare),10000,240,25818.75,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Sync Replication + Encryption (Healthcare),50000,240,129093.75,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Sync Replication + Encryption (Healthcare),250000,1200,645468.75,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Async Replication + Policy Engine (Healthcare),500,240,637.5,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Async Replication + Policy Engine (Healthcare),2500,240,3187.5,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Async Replication + Policy Engine (Healthcare),10000,240,12750.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Async Replication + Policy Engine (Healthcare),50000,240,63750.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Async Replication + Policy Engine (Healthcare),250000,1200,318750.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Event Sourcing + Audit Trail (Healthcare),500,240,2033.62,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Event Sourcing + Audit Trail (Healthcare),2500,240,10168.12,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Event Sourcing + Audit Trail (Healthcare),10000,240,40672.5,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Event Sourcing + Audit Trail (Healthcare),50000,240,203362.5,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Event Sourcing + Audit Trail (Healthcare),250000,1200,1016812.5,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Zero-Trust Multi-Region (Healthcare),500,240,3570.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Zero-Trust Multi-Region (Healthcare),2500,240,17850.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Zero-Trust Multi-Region (Healthcare),10000,240,71400.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Zero-Trust Multi-Region (Healthcare),50000,240,357000.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Zero-Trust Multi-Region (Healthcare),250000,1200,1785000.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Sync Replication + Encryption (Generic),500,40,253.12,High,Standard,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Sync Replication + Encryption (Generic),2500,40,1265.62,High,Standard,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Sync Replication + Encryption (Generic),10000,40,5062.5,High,Standard,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Sync Replication + Encryption (Generic),50000,40,25312.5,High,Standard,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Sync Replication + Encryption (Generic),250000,200,126562.5,High,Standard,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Async Replication + Policy Engine (Generic),500,40,125.0,High,Standard,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Async Replication + Policy Engine (Generic),2500,40,625.0,High,Standard,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Async Replication + Policy Engine (Generic),10000,40,2500.0,High,Standard,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Async Replication + Policy Engine (Generic),50000,40,12500.0,High,Standard,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Async Replication + Policy Engine (Generic),250000,200,62500.0,High,Standard,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Event Sourcing + Audit Trail (Generic),500,40,398.75,High,Standard,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Event Sourcing + Audit Trail (Generic),2500,40,1993.75,High,Standard,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Event Sourcing + Audit Trail (Generic),10000,40,7975.0,High,Standard,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Event Sourcing + Audit Trail (Generic),50000,40,39875.0,High,Standard,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Event Sourcing + Audit Trail (Generic),250000,200,199375.0,High,Standard,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Zero-Trust Multi-Region (Generic),500,40,700.0,High,Standard,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Zero-Trust Multi-Region (Generic),2500,40,3500.0,High,Standard,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Zero-Trust Multi-Region (Generic),10000,40,14000.0,High,Standard,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Zero-Trust Multi-Region (Generic),50000,40,70000.0,High,Standard,Cross-Border
Multi-Cloud Cross-Border,us-east-1,eu-west-1,Zero-Trust Multi-Region (Generic),250000,200,350000.0,High,Standard,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Sync Replication + Encryption (PII),500,160,1063.12,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Sync Replication + Encryption (PII),2500,160,5315.62,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Sync Replication + Encryption (PII),10000,160,21262.5,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Sync Replication + Encryption (PII),50000,160,106312.5,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Sync Replication + Encryption (PII),250000,800,531562.5,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Async Replication + Policy Engine (PII),500,160,525.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Async Replication + Policy Engine (PII),2500,160,2625.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Async Replication + Policy Engine (PII),10000,160,10500.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Async Replication + Policy Engine (PII),50000,160,52500.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Async Replication + Policy Engine (PII),250000,800,262500.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Event Sourcing + Audit Trail (PII),500,160,1674.75,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Event Sourcing + Audit Trail (PII),2500,160,8373.75,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Event Sourcing + Audit Trail (PII),10000,160,33495.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Event Sourcing + Audit Trail (PII),50000,160,167475.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Event Sourcing + Audit Trail (PII),250000,800,837375.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Zero-Trust Multi-Region (PII),500,160,2940.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Zero-Trust Multi-Region (PII),2500,160,14700.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Zero-Trust Multi-Region (PII),10000,160,58800.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Zero-Trust Multi-Region (PII),50000,160,294000.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Zero-Trust Multi-Region (PII),250000,800,1470000.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Sync Replication + Encryption (Financial),500,200,1275.75,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Sync Replication + Encryption (Financial),2500,200,6378.75,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Sync Replication + Encryption (Financial),10000,200,25515.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Sync Replication + Encryption (Financial),50000,200,127575.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Sync Replication + Encryption (Financial),250000,1000,637875.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Async Replication + Policy Engine (Financial),500,200,630.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Async Replication + Policy Engine (Financial),2500,200,3150.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Async Replication + Policy Engine (Financial),10000,200,12600.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Async Replication + Policy Engine (Financial),50000,200,63000.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Async Replication + Policy Engine (Financial),250000,1000,315000.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Event Sourcing + Audit Trail (Financial),500,200,2009.7,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Event Sourcing + Audit Trail (Financial),2500,200,10048.5,Very High,Strict,Cross-Border
