registry_platform,organization_type,monthly_schema_changes,breaking_change_percentage,backward_compatibility_percentage,forward_compatibility_percentage,full_compatibility_percentage,avg_recovery_time_minutes,change_review_process,automated_validation,rollback_capability,change_frequency_trend
confluent_cloud,enterprise,45,12.5,65.0,15.0,7.5,35,mandatory_review,comprehensive,automatic,increasing
confluent_cloud,mid_market,28,18.7,58.3,16.7,6.3,52,peer_review,basic,manual,stable
confluent_cloud,startup,15,25.0,50.0,20.0,5.0,78,self_review,minimal,manual,decreasing
apicurio_registry,enterprise,32,8.9,72.1,14.2,4.8,28,mandatory_review,comprehensive,automatic,stable
apicurio_registry,mid_market,19,15.8,61.2,18.5,4.5,43,peer_review,moderate,semi_automatic,increasing
apicurio_registry,startup,11,22.3,48.7,24.1,4.9,85,minimal_review,basic,manual,stable
aws_glue_schema,enterprise,38,10.2,68.5,16.8,4.5,31,automated_review,comprehensive,automatic,increasing
aws_glue_schema,mid_market,24,16.4,59.7,19.2,4.7,48,peer_review,moderate,semi_automatic,stable
aws_glue_schema,startup,13,28.1,46.3,21.4,4.2,92,self_review,minimal,manual,decreasing
azure_schema_registry,enterprise,41,9.8,70.2,15.4,4.6,33,mandatory_review,comprehensive,automatic,increasing
azure_schema_registry,mid_market,26,17.1,57.9,18.8,6.2,51,peer_review,moderate,semi_automatic,stable
azure_schema_registry,startup,14,24.7,49.1,22.6,3.6,81,minimal_review,basic,manual,stable
gcp_schema_registry,enterprise,35,11.3,66.8,17.2,4.7,36,automated_review,comprehensive,automatic,increasing
gcp_schema_registry,mid_market,22,19.2,56.4,20.1,4.3,55,peer_review,moderate,semi_automatic,increasing
gcp_schema_registry,startup,12,26.4,47.8,21.5,4.3,88,self_review,minimal,manual,decreasing
hortonworks_registry,enterprise,29,13.7,64.3,16.9,5.1,39,mandatory_review,moderate,semi_automatic,stable
hortonworks_registry,mid_market,18,20.5,54.8,19.7,5.0,58,peer_review,basic,manual,stable
redhat_service_registry,enterprise,33,10.8,67.9,16.4,4.9,34,mandatory_review,comprehensive,automatic,increasing
redhat_service_registry,mid_market,21,18.3,58.6,18.1,5.0,49,peer_review,moderate,semi_automatic,stable
linkedin_brooklin,enterprise,27,14.2,62.1,18.4,5.3,41,automated_review,moderate,semi_automatic,decreasing
