cloud,collection_date,compression,cost_usd,data_format,data_source,dest_region,gb_moved,movement_type,notes,operation,query_type,scenario_type,service,source_region,transfer_method
AWS,2025-08-20,snappy,8.5,parquet,external_table_and_cross_cloud_scenarios,redshift_us_east_1,100,external_s3_scan,Same region S3 to Redshift external table scan,,full_table_scan,external_table,Redshift_Spectrum,s3_us_east_1,
AWS,2025-08-20,gzip,10.5,parquet,external_table_and_cross_cloud_scenarios,redshift_us_east_1,100,external_s3_cross_region,Cross-region S3 to Redshift external scan with filter,,filtered_scan,external_table,Redshift_Spectrum,s3_us_west_2,
AWS,2025-08-20,snappy,2.5,parquet,external_table_and_cross_cloud_scenarios,athena_us_east_1,50,athena_s3_query,Athena query on partitioned Parquet data,,aggregation,external_table,Athena,s3_us_east_1,
AWS,2025-08-20,zlib,6.38,orc,external_table_and_cross_cloud_scenarios,athena_account_b_us_east_1,75,athena_cross_account,Cross-account Athena query with data egress,,join_operation,external_table,Athena,s3_account_a_us_east_1,
GCP,2025-08-20,deflate,16.0,avro,external_table_and_cross_cloud_scenarios,bigquery_us_central1,200,bq_gcs_query,BigQuery external table on GCS Avro files,,window_function,external_table,BigQuery_External_Tables,gcs_us_central1,
GCP,2025-08-20,snappy,14.0,parquet,external_table_and_cross_cloud_scenarios,bigquery_us_central1,150,bq_cross_region_gcs,Cross-region BigQuery external table query,,complex_analytics,external_table,BigQuery_External_Tables,gcs_us_west1,
Azure,2025-08-20,snappy,10.44,delta,external_table_and_cross_cloud_scenarios,synapse_east_us,120,synapse_adls_query,Synapse Serverless SQL on ADLS Delta tables,,time_series_analysis,external_table,Synapse_Analytics,adls_east_us,
Azure,2025-08-20,gzip,17.66,parquet,external_table_and_cross_cloud_scenarios,synapse_east_us,180,synapse_cross_region,Cross-region Synapse external table ML workload,,ml_feature_extraction,external_table,Synapse_Analytics,adls_west_us,
AWS_to_GCP,2025-08-20,snappy,850.0,parquet,external_table_and_cross_cloud_scenarios,gcs_us_central1,10000,bulk_data_migration,10TB data lake migration from AWS S3 to GCS,,,cross_cloud_analytics,Data_Transfer_Service,s3_us_east_1,google_transfer_service
GCP_to_AWS,2025-08-20,gzip,600.0,delta,external_table_and_cross_cloud_scenarios,s3_us_east_1,5000,reverse_migration,5TB Delta Lake migration from GCS to S3,,,cross_cloud_analytics,DataSync,gcs_us_central1,aws_datasync
Azure_to_AWS,2025-08-20,none,174.0,json,external_table_and_cross_cloud_scenarios,s3_us_east_1,2000,scheduled_sync,Monthly Azure Data Lake to S3 synchronization,,,cross_cloud_analytics,Azure_Data_Factory,adls_east_us,adf_copy_activity
Multi_Cloud_Mesh,2025-08-20,zstd,47.5,iceberg,external_table_and_cross_cloud_scenarios,query_engine_us_east_1,500,federated_query,Trino federated query across AWS/GCP/Azure,,,cross_cloud_analytics,Data_Mesh_Federation,multi_cloud_global,trino_federation
AWS_GCP_Stream,2025-08-20,snappy,95.0,avro,external_table_and_cross_cloud_scenarios,bigquery_gcp_us_central1,1000,real_time_streaming,Real-time AWS Kafka to GCP BigQuery streaming,,,cross_cloud_analytics,Kafka_Connect,kafka_aws_us_east_1,kafka_connect_gcp_sink
AWS,2025-08-20,zstd,68.0,iceberg,external_table_and_cross_cloud_scenarios,emr_us_east_1,800,iceberg_compaction,Cross-region Iceberg table maintenance operation,table_compaction,,data_lakehouse,EMR_Iceberg,s3_us_west_2,
Azure,2025-08-20,snappy,104.4,delta,external_table_and_cross_cloud_scenarios,databricks_east_us,1200,delta_optimize,Cross-region Delta Lake OPTIMIZE operation,optimize_zorder,,data_lakehouse,Databricks_Delta,adls_west_us,
GCP,2025-08-20,gzip,48.0,hudi,external_table_and_cross_cloud_scenarios,dataproc_us_central1,600,hudi_merge,Hudi merge-on-read cross-region operation,merge_on_read,,data_lakehouse,Dataproc_Hudi,gcs_us_west1,
Multi_Cloud,2025-08-20,gzip,4.75,metadata_json,external_table_and_cross_cloud_scenarios,catalog_azure_east_us,50,catalog_metadata_sync,Unity Catalog cross-cloud metadata synchronization,catalog_sync,,data_lakehouse,Unity_Catalog,catalog_aws_us_east_1,
