vendor,platform,sku_id,sku_name,apis_supported,gateway_default,first_listed_date,links,date_source,date_confidence,native_apis,compatible_apis,gateway_apis,plugin_apis,api_notes,total_api_count,is_multi_api,supports_sql,supports_kv,supports_doc,supports_graph,supports_search,vendor_category
Amazon,AWS,documentdb,Amazon DocumentDB,doc|sql,False,2019-01-09,https://aws.amazon.com/documentdb/,AWS DocumentDB announcement,high,doc,sql,,,MongoDB-compatible document database with SQL querying via aggregation,2,True,True,False,True,False,False,cloud_hyperscaler
Amazon,AWS,dynamodb,Amazon DynamoDB,kv|doc,False,2012-01-18,https://aws.amazon.com/dynamodb/,AWS DynamoDB general availability,high,kv,doc,,,NoSQL key-value and document database with PartiQL SQL-like queries,2,True,False,True,True,False,False,cloud_hyperscaler
Amazon,AWS,neptune,Amazon Neptune,graph|sql,False,2017-11-29,https://aws.amazon.com/neptune/,AWS Neptune announcement at re:Invent 2017,high,graph,sql,,,"Graph database supporting Gremlin, SPARQL, and openCypher",2,True,True,False,False,True,False,cloud_hyperscaler
Amazon,AWS,opensearch,Amazon OpenSearch Service,search|sql|kv,False,2015-10-01,https://aws.amazon.com/opensearch-service/,Amazon Elasticsearch Service launch (renamed to OpenSearch),medium,search,sql|kv,,,Search engine with SQL plugin and k-NN vector search,3,True,True,True,False,False,True,cloud_hyperscaler
Amazon,AWS,timestream,Amazon Timestream,sql,False,2020-09-30,https://aws.amazon.com/timestream/,AWS Timestream general availability,high,sql,,,,Time series database with SQL interface,1,False,True,False,False,False,False,cloud_hyperscaler
Amazon,AWS,memorydb-redis,Amazon MemoryDB for Redis,kv|search,False,2021-08-19,https://aws.amazon.com/memorydb/,AWS MemoryDB for Redis announcement,high,kv,search,,graph|doc,Redis-compatible with RediSearch and RedisJSON modules,2,True,False,True,False,False,True,cloud_hyperscaler
Amazon,AWS,aurora-dsql,Amazon Aurora DSQL,sql,False,2024-12-03,https://aws.amazon.com/rds/aurora/dsql/,AWS Aurora DSQL announcement at re:Invent 2024,high,sql,,,,Distributed SQL database with PostgreSQL compatibility,1,False,True,False,False,False,False,cloud_hyperscaler
Google,GCP,firestore,Cloud Firestore,doc|sql,False,2017-10-03,https://cloud.google.com/firestore,Cloud Firestore beta announcement,high,doc|sql,,,,,2,True,True,False,True,False,False,cloud_hyperscaler
Google,GCP,bigtable,Cloud Bigtable,kv,False,2015-05-06,https://cloud.google.com/bigtable,Cloud Bigtable public beta,high,kv,,,,,1,False,False,True,False,False,False,cloud_hyperscaler
Google,GCP,spanner,Cloud Spanner,sql|kv,False,2017-02-14,https://cloud.google.com/spanner,Cloud Spanner general availability,high,sql|kv,,,,,2,True,True,True,False,False,False,cloud_hyperscaler
Google,GCP,alloydb,AlloyDB for PostgreSQL,sql|search,False,2022-05-11,https://cloud.google.com/alloydb,AlloyDB for PostgreSQL announcement at Google I/O,high,sql|search,,,,,2,True,True,False,False,False,True,cloud_hyperscaler
